Sebbene le informazioni contenute nel presente documento siano state ottenute da fonti ritenute affidabili, DWS non ne garantisce l’accuratezza, la completezza o l’equità e non deve essere invocata come tale. DWS non si assume alcuna responsabilità per errori, inesattezze o omissioni relativamente alle informazioni qui contenute, e non ha alcun obbligo di aggiornare, modificare o correggere le informazioni che dovessero risultare inesatte. DWS DECLINA ESPRESSAMENTE OGNI RESPONSABILITÀ PER EVENTUALI PERDITE O DANNI DIRETTI, INDIRETTI O DI ALTRA NATURA, IVI INCLUSO L’EVENTUALE LUCRO CESSANTE SUBITO DALL’INVESTITORE O DA TERZI E DERIVANTE DALL’AVER FATTO AFFIDAMENTO SUL PRESENTE DOCUMENTO, O PER LA SUA AFFIDABILITÀ, ACCURATEZZA, COMPLETEZZA O TEMPESTIVITÀ. Il presente documento è stato redatto esclusivamente a scopo informativo e non costituisce un’offerta, raccomandazione o sollecitazione a concludere transazioni.;;;;;;;;;;
;;;;;;;;;;
;Name;ISIN;Country;Currency;Exchange;Type of Security;Rating;Primary Listing;Industry Classification;Weighting
34;HSBC HOLDINGS PLC;GB0005405286;Regno Unito;GBP;London Stock Exchange;Azionari;Aa3;FTSE 100 Index;Finanza;0,37%
35;NETFLIX INC;US64110L1061;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Ba3;NASDAQ Composite Index;Servizi di comunicazione;0,36%
36;GOLDMAN SACHS GROUP INC;US38141G1040;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Finanza;0,36%
37;CHEVRON CORP;US1667641005;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Aa2;S&P 500 Index;Energia;0,36%
38;ORACLE CORP;US68389X1054;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A1;S&P 500 Index;Tecnologia dell'informazione;0,36%
39;COCA-COLA;US1912161007;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Aa3;S&P 500 Index;Beni di prima necessità;0,34%
40;GE VERNOVA INC;US36828A1016;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,33%
41;TEXAS INSTRUMENT INC;US8825081040;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,33%
42;ROYAL BANK OF CANADA;CA7800871021;Canada;CAD;Toronto Stock Exchange;Azionari;Aa3;S&P/TSX COMPOSITE Index;Finanza;0,32%
43;MERCK & CO INC;US58933Y1055;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Sanità;0,31%
44;PALANTIR TECHNOLOGIES INC CLASS A;US69608A1088;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,31%
45;ROCHE PS PAR AG;CH1499059983;Svizzera;CHF;-;Azionari;-;Swiss Market Index;Sanità;0,31%
46;PHILIP MORRIS INTERNATIONAL INC;US7181721090;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Beni di prima necessità;0,31%
47;NOVARTIS AG;CH0012005267;Svizzera;CHF;Scoach Switzerland;Azionari;Aa3;Swiss Market Index;Sanità;0,30%
48;MARVELL TECHNOLOGY INC;US5738741041;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,30%
49;MORGAN STANLEY;US6174464486;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa1;S&P 500 Index;Finanza;0,30%
50;ASTRAZENECA PLC;GB0009895292;Regno Unito;GBP;London Stock Exchange;Azionari;A2;FTSE 100 Index;Sanità;0,29%
51;WESTERN DIGITAL CORP;US9581021055;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,29%
52;NESTLE SA;CH0038863350;Svizzera;CHF;Scoach Switzerland;Azionari;Aa2;Swiss Market Index;Beni di prima necessità;0,28%
53;WELLS FARGO;US9497461015;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Finanza;0,28%
54;RTX CORP;US75513E1010;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,28%
55;CITIGROUP INC;US1729674242;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa2;S&P 500 Index;Finanza;0,27%
56;QUALCOMM INC;US7475251036;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;A2;NASDAQ Composite Index;Tecnologia dell'informazione;0,27%
57;LINDE PLC;IE000S9YS762;Irlanda;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Materiali;0,27%
58;SIEMENS N AG;DE0007236101;Germania;EUR;XETRA;Azionari;Aa3;DAX Index;Prodotti industriali;0,26%
59;SEAGATE TECHNOLOGY HOLDINGS PLC;IE00BKVD2N49;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,26%
60;INTERNATIONAL BUSINESS MACHINES CO;US4592001014;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Aa3;S&P 500 Index;Tecnologia dell'informazione;0,26%
61;PALO ALTO NETWORKS INC;US6974351057;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,26%
62;BHP GROUP LTD;AU000000BHP4;Australia;AUD;Australian Stock Exchange;Azionari;A1;ASX All Ordinaries Index;Materiali;0,26%
63;MITSUBISHI UFJ FINANCIAL GROUP INC;JP3902900004;Giappone;JPY;Tokyo Stock Exchange;Azionari;A2;TOPIX Index;Finanza;0,25%
64;SHELL PLC;GB00BP6MXD84;Paesi Bassi (Olanda);GBP;London Stock Exchange;Azionari;-;FTSE 100 Index;Energia;0,25%
65;ANALOG DEVICES INC;US0326541051;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;A3;NASDAQ Composite Index;Tecnologia dell'informazione;0,24%
66;TOKYO ELECTRON LTD;JP3571400005;Giappone;JPY;Tokyo Stock Exchange;Azionari;-;TOPIX Index;Tecnologia dell'informazione;0,24%
67;AMPHENOL CORP CLASS A;US0320951017;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,23%
68;MCDONALDS CORP;US5801351017;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Beni voluttuari;0,22%
69;TORONTO DOMINION;CA8911605092;Canada;CAD;Toronto Stock Exchange;Azionari;Aa1;S&P/TSX COMPOSITE Index;Finanza;0,22%
70;BANCO SANTANDER;ES0113900J37;Spagna;EUR;Mercado Continuo Espana;Azionari;Baa1;IBEX 35 Index;Finanza;0,22%
71;PEPSICO INC;US7134481081;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;A1;NASDAQ Composite Index;Beni di prima necessità;0,22%
72;COMMONWEALTH BANK OF AUSTRALIA;AU000000CBA7;Australia;AUD;Australian Stock Exchange;Azionari;Aa2;ASX All Ordinaries Index;Finanza;0,21%
73;VERIZON COMMUNICATIONS INC;US92343V1044;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa1;S&P 500 Index;Servizi di comunicazione;0,21%
74;KIOXIA HOLDINGS CORP;JP3236330001;Giappone;JPY;Tokyo Stock Exchange;Azionari;-;TOPIX Index;Tecnologia dell'informazione;0,21%
75;WALT DISNEY;US2546871060;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Servizi di comunicazione;0,21%
76;SCHNEIDER ELECTRIC;FR0000121972;Francia;EUR;Euronext Paris;Azionari;A3;CAC 40 Index;Prodotti industriali;0,20%
77;AMGEN INC;US0311621009;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Baa1;NASDAQ Composite Index;Sanità;0,20%
78;TJX INC;US8725401090;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Beni voluttuari;0,20%
79;ARISTA NETWORKS INC;US0404132054;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,20%
80;NEXTERA ENERGY INC;US65339F1012;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa1;S&P 500 Index;Servizi di pubblica utilità;0,20%
81;US DOLLAR;_CURRENCYUSD;Stati Uniti d'America;USD;-;Cash;-;-;sconosciuta;0,20%
82;AMERICAN EXPRESS;US0258161092;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Finanza;0,20%
83;ALLIANZ;DE0008404005;Germania;EUR;XETRA;Azionari;Aa3;DAX Index;Finanza;0,20%
84;THERMO FISHER SCIENTIFIC INC;US8835561023;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa3;S&P 500 Index;Sanità;0,19%
85;CROWDSTRIKE HOLDINGS INC CLASS A;US22788C1053;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Tecnologia dell'informazione;0,19%
86;ABB LTD;CH0012221716;Svizzera;CHF;Scoach Switzerland;Azionari;A2;Swiss Market Index;Prodotti industriali;0,19%
87;BOEING;US0970231058;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,19%
88;SOFTBANK GROUP CORP;JP3436100006;Giappone;JPY;Tokyo Stock Exchange;Azionari;Ba1;TOPIX Index;Servizi di comunicazione;0,19%
89;TOYOTA MOTOR CORP;JP3633400001;Giappone;JPY;Tokyo Stock Exchange;Azionari;Aa3;TOPIX Index;Beni voluttuari;0,18%
90;EATON PLC;IE00B8KQN827;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,18%
91;UBS GROUP AG;CH0244767585;Svizzera;CHF;Scoach Switzerland;Azionari;-;Swiss Market Index;Finanza;0,18%
92;SAP;DE0007164600;Germania;EUR;XETRA;Azionari;-;DAX Index;Tecnologia dell'informazione;0,18%
