05-giu-2026;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;93,00;;;;;;;;;;
Shares Outstanding;15.600.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
TLS;TELSTRA GROUP LTD;Comunicazione;Azionario;22.813.748,91;0,62;22.813.748,91;6.482.547,00;3,52;Australia;Asx - All Markets;AUD
SCG;SCENTRE GROUP;Immobili;Azionario;22.502.440,67;0,62;22.502.440,67;8.682.683,00;2,59;Australia;Asx - All Markets;AUD
SUN;SUNCORP GROUP LTD;Finanziari;Azionario;22.434.010,24;0,61;22.434.010,24;1.804.213,00;12,43;Australia;Asx - All Markets;AUD
ORG;ORIGIN ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;22.089.598,70;0,61;22.089.598,70;2.864.609,00;7,71;Australia;Asx - All Markets;AUD
S63;SINGAPORE TECHNOLOGIES ENGINEERING;Industriali;Azionario;21.973.468,58;0,60;21.973.468,58;2.600.900,00;8,45;Singapore;Singapore Exchange;SGD
PLS;PLS GROUP LTD;Materiali;Azionario;21.854.559,76;0,60;21.854.559,76;5.222.278,00;4,18;Australia;Asx - All Markets;AUD
823;LINK REAL ESTATE INVESTMENT TRUST;Immobili;Azionario;21.403.160,37;0,59;21.403.160,37;4.389.805,00;4,88;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
CPU;COMPUTERSHARE LTD;Industriali;Azionario;21.225.498,81;0,58;21.225.498,81;858.153,00;24,73;Australia;Asx - All Markets;AUD
FPH;FISHER AND PAYKEL HEALTHCARE CORPO;Salute;Azionario;21.198.539,28;0,58;21.198.539,28;978.731,00;21,66;Nuova Zelanda;New Zealand Exchange Ltd;NZD
IAG;INSURANCE AUSTRALIA GROUP LTD;Finanziari;Azionario;19.869.001,15;0,54;19.869.001,15;3.711.587,00;5,35;Australia;Asx - All Markets;AUD
BN4;KEPPEL LTD;Industriali;Azionario;19.269.856,48;0,53;19.269.856,48;2.345.500,00;8,22;Singapore;Singapore Exchange;SGD
LYC;LYNAS RARE EARTHS LTD;Materiali;Azionario;19.153.983,55;0,52;19.153.983,55;1.489.528,00;12,86;Australia;Asx - All Markets;AUD
SOL;WASHINGTON H SOUL PATTINSON & COMP;Finanziari;Azionario;17.700.227,99;0,48;17.700.227,99;582.540,00;30,38;Australia;Asx - All Markets;AUD
CICT;CAPITALAND INTEGRATED COMMERCIAL T;Immobili;Azionario;17.627.641,85;0,48;17.627.641,85;10.009.705,00;1,76;Singapore;Singapore Exchange;SGD
SIG;SIGMA HEALTHCARE LTD;Salute;Azionario;17.625.496,84;0,48;17.625.496,84;8.524.402,00;2,07;Australia;Asx - All Markets;AUD
1113;CK ASSET HOLDINGS LTD;Immobili;Azionario;17.153.212,02;0,47;17.153.212,02;2.908.936,00;5,90;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
J36;JARDINE MATHESON HOLDINGS LTD;Industriali;Azionario;16.758.784,00;0,46;16.758.784,00;267.200,00;62,72;Hong Kong;Singapore Exchange;USD
6;POWER ASSETS HOLDINGS LTD;Imprese di servizi di pubblica utilità;Azionario;16.448.815,23;0,45;16.448.815,23;2.285.000,00;7,20;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
3;HONG KONG AND CHINA GAS LTD;Imprese di servizi di pubblica utilità;Azionario;16.230.640,74;0,44;16.230.640,74;18.645.841,00;0,87;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
APA;APA GROUP UNITS;Imprese di servizi di pubblica utilità;Azionario;15.954.941,01;0,44;15.954.941,01;2.168.628,00;7,36;Australia;Asx - All Markets;AUD
MPL;MEDIBANK PRIVATE LTD;Finanziari;Azionario;15.447.514,48;0,42;15.447.514,48;4.563.900,00;3,38;Australia;Asx - All Markets;AUD
XRO;XERO LTD;IT;Azionario;15.122.276,15;0,41;15.122.276,15;269.410,00;56,13;Australia;Asx - All Markets;AUD
288;WH GROUP LTD;Generi di largo consumo;Azionario;14.684.290,11;0,40;14.684.290,11;12.797.465,00;1,15;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
IFT;INFRATIL LTD;Finanziari;Azionario;13.747.821,62;0,38;13.747.821,62;1.530.440,00;8,98;Nuova Zelanda;New Zealand Exchange Ltd;NZD
TLC;THE LOTTERY CORPORATION LTD;Consumi Discrezionali;Azionario;13.622.817,34;0,37;13.622.817,34;3.685.546,00;3,70;Australia;Asx - All Markets;AUD
C6L;SINGAPORE AIRLINES LTD;Industriali;Azionario;13.478.482,18;0,37;13.478.482,18;2.492.649,00;5,41;Singapore;Singapore Exchange;SGD
AIA;AUCKLAND INTERNATIONAL AIRPORT LTD;Industriali;Azionario;13.472.073,17;0,37;13.472.073,17;2.776.235,00;4,85;Nuova Zelanda;New Zealand Exchange Ltd;NZD
27;GALAXY ENTERTAINMENT GROUP LTD;Consumi Discrezionali;Azionario;13.195.045,21;0,36;13.195.045,21;3.313.500,00;3,98;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
GRAB;GRAB HOLDINGS LTD CLASS A;Industriali;Azionario;13.178.344,08;0,36;13.178.344,08;3.945.612,00;3,34;Singapore;NASDAQ;USD
CLAR;CAPITALAND ASCENDAS REIT;Immobili;Azionario;13.041.741,80;0,36;13.041.741,80;6.805.994,00;1,92;Singapore;Singapore Exchange;SGD
H78;HONGKONG LAND HOLDINGS LTD;Immobili;Azionario;11.856.856,00;0,32;11.856.856,00;1.608.800,00;7,37;Hong Kong;Singapore Exchange;USD
BS6;YANGZIJIANG SHIPBUILDING (HOLDINGS;Industriali;Azionario;11.703.146,63;0,32;11.703.146,63;4.261.400,00;2,75;Singapore;Singapore Exchange;SGD
CAR;CAR GROUP LTD;Comunicazione;Azionario;11.209.962,58;0,31;11.209.962,58;598.301,00;18,74;Australia;Asx - All Markets;AUD
VCX;VICINITY CENTRES;Immobili;Azionario;11.162.991,19;0,31;11.162.991,19;6.487.535,00;1,72;Australia;Asx - All Markets;AUD
PME;PRO MEDICUS LTD;Salute;Azionario;11.110.617,19;0,30;11.110.617,19;94.728,00;117,29;Australia;Asx - All Markets;AUD
ASX;ASX LTD;Finanziari;Azionario;10.987.235,35;0,30;10.987.235,35;325.430,00;33,76;Australia;Asx - All Markets;AUD
SGP;STOCKLAND STAPLED UNITS LTD;Immobili;Azionario;10.843.668,69;0,30;10.843.668,69;3.998.369,00;2,71;Australia;Asx - All Markets;AUD
