Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
K;Kinross Gold Corp;0,0558%;Basic Materials;CA;3.355.851,88 USD;111.000
PCG;PG&E Corp;0,0555%;Utilities;US;3.334.337,64 USD;200.622
EQT;EQT Corp;0,0552%;Energy;US;3.316.416,00 USD;55.200
CSU;Constellation Software Inc/Canada;0,0549%;Technology;CA;3.297.065,95 USD;1814
SYY;Sysco Corp;0,0546%;Consumer Staples;US;3.284.176,89 USD;43.959
ADM;Archer-Daniels-Midland Co;0,0544%;Consumer Staples;US;3.270.218,88 USD;43.872
HAL;Halliburton Co;0,0539%;Energy;US;3.239.418,60 USD;76.582
PRU;Prudential Financial Inc;0,0525%;Financials;US;3.155.315,71 USD;32.161
RBLX;ROBLOX Corp;0,0523%;Consumer Discretionary;US;3.142.636,20 USD;56.870
IFC;Intact Financial Corp;0,0522%;Financials;CA;3.139.110,84 USD;16.324
IBKR;Interactive Brokers Group Inc;0,0519%;Financials;US;3.122.362,50 USD;39.275
DOL;Dollarama Inc;0,0516%;Consumer Discretionary;CA;3.100.081,99 USD;24.306
FLEX;Flex Ltd;0,0512%;Technology;US;3.080.291,30 USD;33.646
HBAN;Huntington Bancshares Inc/OH;0,0512%;Financials;US;3.075.996,32 USD;183.532
FISV;Fiserv Inc;0,0512%;Industrials;US;3.075.112,60 USD;49.084
KVUE;Kenvue Inc;0,0508%;Consumer Staples;US;3.053.322,81 USD;174.177
ACGL;Arch Capital Group Ltd;0,0506%;Financials;US;3.042.839,98 USD;32.213
MTB;M&T Bank Corp;0,0505%;Financials;US;3.037.426,59 USD;13.893
CRWV;Coreweave Inc;0,0504%;Technology;US;3.026.480,40 USD;27.119
A;Agilent Technologies Inc;0,0503%;Health Care;US;3.021.748,05 USD;26.151
KMB;Kimberly-Clark Corp;0,0498%;Consumer Staples;US;2.994.831,18 USD;30.426
NRG;NRG Energy Inc;0,0485%;Utilities;US;2.917.280,58 USD;18.751
IR;Ingersoll Rand Inc;0,0484%;Industrials;US;2.911.216,44 USD;36.454
CBOE;Cboe Global Markets Inc;0,048%;Financials;US;2.885.365,35 USD;9615
STLD;Steel Dynamics Inc;0,0479%;Basic Materials;US;2.877.228,78 USD;12.583
DTE;DTE Energy Co;0,0477%;Utilities;US;2.866.941,00 USD;18.900
DVN;Devon Energy Corp;0,0475%;Energy;US;2.854.887,75 USD;55.575
RMD;ResMed Inc;0,0474%;Health Care;US;2.846.666,34 USD;13.314
NTRS;Northern Trust Corp;0,0469%;Financials;US;2.820.294,70 USD;16.955
DOV;Dover Corp;0,0469%;Industrials;US;2.817.219,63 USD;12.443
AEE;Ameren Corp;0,0466%;Utilities;US;2.800.790,60 USD;24.644
WAT;Waters Corp;0,0464%;Health Care;US;2.791.109,98 USD;9026
CCL;Carnival Corp;0,0462%;Consumer Discretionary;US;2.779.467,46 USD;104.846
ATO;Atmos Energy Corp;0,0462%;Utilities;US;2.777.697,58 USD;14.621
AXON;Axon Enterprise Inc;0,0462%;Industrials;US;2.776.965,12 USD;6912
OTIS;Otis Worldwide Corp;0,0462%;Industrials;US;2.774.708,64 USD;35.628
EXR;Extra Space Storage Inc;0,0461%;Real Estate;US;2.770.425,57 USD;19.329
TDY;Teledyne Technologies Inc;0,0458%;Industrials;US;2.754.550,25 USD;4265
PAYX;Paychex Inc;0,0456%;Industrials;US;2.742.774,30 USD;29.610
POW;Power Corp of Canada;0,0452%;Financials;CA;2.716.911,48 USD;48.799
Q;Qnity Electronics Inc;0,0448%;Technology;US;2.690.122,50 USD;19.125
CPRT;Copart Inc;0,0445%;Consumer Discretionary;US;2.674.427,14 USD;80.774
FTS;Fortis Inc/Canada;0,044%;Utilities;CA;2.644.236,10 USD;46.332
EXPE;Expedia Group Inc;0,0439%;Consumer Discretionary;US;2.640.918,21 USD;10.633
VICI;VICI Properties Inc;0,0438%;Real Estate;US;2.633.898,40 USD;90.202
XYL;Xylem Inc/NY;0,0438%;Industrials;US;2.633.077,44 USD;22.284
CNP;CenterPoint Energy Inc;0,0435%;Utilities;US;2.615.944,50 USD;59.930
DOW;Dow Inc;0,0435%;Industrials;US;2.615.411,06 USD;64.594
INSM;Insmed Inc;0,0434%;Health Care;US;2.611.128,49 USD;19.153
HUM;Humana Inc;0,0433%;Health Care;US;2.604.859,48 USD;11.017
TECK/B;Teck Resources Ltd;0,0426%;Basic Materials;CA;2.559.844,32 USD;43.937
CFG;Citizens Financial Group Inc;0,0424%;Financials;US;2.547.162,85 USD;39.157
PPL;PPL Corp;0,0423%;Utilities;US;2.542.288,32 USD;67.903
GEHC;GE HealthCare Technologies Inc;0,0423%;Health Care;US;2.542.381,92 USD;41.788
BIIB;Biogen Inc;0,0422%;Health Care;US;2.534.459,20 USD;13.390
QSR;Restaurant Brands International Inc;0,0418%;Consumer Discretionary;CA;2.514.724,47 USD;31.227
NTRA;Natera Inc;0,0415%;Health Care;US;2.491.443,60 USD;12.085
HSY;Hershey Co/The;0,0413%;Consumer Staples;US;2.483.715,28 USD;13.372
HUBB;Hubbell Inc;0,0413%;Industrials;US;2.482.918,62 USD;4886
RJF;Raymond James Financial Inc;0,0413%;Financials;US;2.481.032,72 USD;15.671
CTRA;Coterra Energy Inc;0,0411%;Energy;US;2.472.511,23 USD;68.853
PPL;Pembina Pipeline Corp;0,041%;Energy;CA;2.463.280,25 USD;53.025
IQV;IQVIA Holdings Inc;0,0408%;Health Care;US;2.450.775,75 USD;15.475
LPLA;LPL Financial Holdings Inc;0,0404%;Financials;US;2.431.129,88 USD;7276
SYF;Synchrony Financial;0,0403%;Industrials;US;2.423.998,20 USD;31.811
ES;Eversource Energy;0,0402%;Utilities;US;2.418.364,20 USD;34.206
EIX;Edison International;0,0402%;Utilities;US;2.414.291,07 USD;34.743
CNC;Centene Corp;0,04%;Health Care;US;2.404.936,17 USD;44.793
MTD;Mettler-Toledo International Inc;0,0399%;Industrials;US;2.396.196,97 USD;1877
AVB;AvalonBay Communities Inc;0,0398%;Real Estate;US;2.392.359,00 USD;13.073
CPNG;Coupang Inc;0,0397%;Consumer Discretionary;US;2.385.152,46 USD;119.377
FE;FirstEnergy Corp;0,0396%;Utilities;US;2.382.700,32 USD;50.141
WDAY;Workday Inc;0,0394%;Technology;US;2.370.765,60 USD;19.369
ZM;Zoom Video Communications Inc;0,0393%;Technology;US;2.360.162,10 USD;24.294
VRSK;Verisk Analytics Inc;0,0392%;Industrials;US;2.354.645,87 USD;12.763
CTSH;Cognizant Technology Solutions Corp;0,0391%;Technology;US;2.347.173,00 USD;44.370
L;Loblaw Cos Ltd;0,0389%;Consumer Staples;CA;2.339.359,17 USD;50.848
TPL;Texas Pacific Land Corp;0,0389%;Energy;US;2.336.809,89 USD;5267
DG;Dollar General Corp;0,0389%;Consumer Discretionary;US;2.335.677,28 USD;20.156
CINF;Cincinnati Financial Corp;0,0385%;Financials;US;2.316.085,20 USD;14.157
ALAB;Astera Labs Inc;0,0383%;Technology;US;2.300.074,14 USD;11.811
LYV;Live Nation Entertainment Inc;0,038%;Consumer Discretionary;US;2.284.444,16 USD;14.464
AWK;American Water Works Co Inc;0,0379%;Utilities;US;2.281.252,88 USD;17.764
RF;Regions Financial Corp;0,0378%;Financials;US;2.270.524,40 USD;79.528
EQR;Equity Residential;0,0376%;Real Estate;US;2.257.767,54 USD;34.533
WTW;Willis Towers Watson PLC;0,0375%;Financials;US;2.250.973,20 USD;8786
PPG;PPG Industries Inc;0,0373%;Industrials;US;2.242.695,00 USD;20.670
FIS;Fidelity National Information Services Inc;0,0368%;Industrials;US;2.213.339,04 USD;47.568
OMC;Omnicom Group Inc;0,0366%;Consumer Discretionary;US;2.197.107,36 USD;28.638
ULTA;Ulta Beauty Inc;0,0364%;Consumer Discretionary;US;2.184.856,20 USD;4065
FICO;Fair Isaac Corp;0,0361%;Industrials;US;2.171.975,00 USD;2119
PHM;PulteGroup Inc;0,0361%;Consumer Discretionary;US;2.168.708,64 USD;17.724
SBAC;SBA Communications Corp;0,0357%;Real Estate;US;2.144.312,80 USD;9694
DXCM;Dexcom Inc;0,0355%;Health Care;US;2.134.450,65 USD;35.843
VEEV;Veeva Systems Inc;0,0355%;Health Care;US;2.131.797,96 USD;13.668
CHD;Church & Dwight Co Inc;0,0354%;Consumer Staples;US;2.128.525,80 USD;21.930
CMS;CMS Energy Corp;0,0353%;Utilities;US;2.119.942,50 USD;27.625
EXE;Expand Energy Corp;0,0353%;Energy;US;2.119.306,05 USD;20.747
DRI;Darden Restaurants Inc;0,0351%;Consumer Discretionary;US;2.112.498,48 USD;10.533
NI;NiSource Inc;0,035%;Utilities;US;2.102.449,16 USD;43.547
P;Everpure Inc;0,0342%;Technology;US;2.056.402,45 USD;28.781
WSP;WSP Global Inc;0,034%;Industrials;CA;2.042.816,84 USD;12.303
VRSN;VeriSign Inc;0,0339%;Technology;US;2.039.666,72 USD;7592
BAP;Credicorp Ltd;0,0339%;Financials;US;2.036.111,77 USD;6281
STZ;Constellation Brands Inc;0,0338%;Consumer Staples;US;2.029.903,12 USD;12.964
TROW;T Rowe Price Group Inc;0,0337%;Financials;US;2.027.867,68 USD;19.711
MKL;Markel Group Inc;0,0335%;Financials;US;2.015.298,39 USD;1137
ARES;Ares Management Corp;0,0334%;Financials;US;2.010.357,60 USD;17.124
PFG;Principal Financial Group Inc;0,0334%;Financials;US;2.009.219,01 USD;19.911
NTAP;NetApp Inc;0,0333%;Technology;US;2.003.053,91 USD;18.083
VLTO;Veralto Corp;0,0333%;Industrials;US;2.002.228,20 USD;22.701
DGX;Quest Diagnostics Inc;0,0328%;Health Care;US;1.974.237,20 USD;10.166
PAAS;Pan American Silver Corp;0,0328%;Basic Materials;CA;1.973.278,14 USD;37.786
LH;Labcorp Holdings Inc;0,0326%;Health Care;US;1.959.640,80 USD;7631
WST;West Pharmaceutical Services Inc;0,0324%;Health Care;US;1.946.536,19 USD;6541
STE;STERIS PLC;0,0324%;Health Care;US;1.945.413,60 USD;8970
EFX;Equifax Inc;0,0321%;Industrials;US;1.932.473,40 USD;11.110
TWLO;Twilio Inc;0,0318%;Technology;US;1.911.454,60 USD;12.910
WSM;Williams-Sonoma Inc;0,0318%;Consumer Discretionary;US;1.909.047,35 USD;10.535
CPAY;Corpay Inc;0,0316%;Industrials;US;1.900.420,47 USD;6201
FSLR;First Solar Inc;0,0312%;Energy;US;1.873.942,98 USD;9282
KEY;KeyCorp;0,0311%;Financials;US;1.871.257,74 USD;84.634
BURL;Burlington Stores Inc;0,0306%;Consumer Discretionary;US;1.837.177,41 USD;5741
SW;Smurfit Westrock PLC;0,0304%;Industrials;US;1.824.484,75 USD;47.525
EXPD;Expeditors International of Washington Inc;0,0301%;Industrials;US;1.811.356,72 USD;12.248
MDB;MongoDB Inc;0,0301%;Technology;US;1.807.731,81 USD;7207
SNA;Snap-on Inc;0,0298%;Industrials;US;1.793.545,20 USD;4678
SOFI;SoFi Technologies Inc;0,0298%;Financials;US;1.789.128,60 USD;111.126
ILMN;Illumina Inc;0,0296%;Health Care;US;1.780.063,30 USD;14.045
RBA;RB Global Inc;0,0294%;Consumer Discretionary;CA;1.767.978,49 USD;16.956
KHC;Kraft Heinz Co/The;0,0294%;Consumer Staples;US;1.767.208,08 USD;77.988
JBHT;JB Hunt Transport Services Inc;0,0293%;Industrials;US;1.760.961,53 USD;7001
HPQ;HP Inc;0,0292%;Technology;US;1.757.100,38 USD;84.233
RPRX;Royalty Pharma PLC;0,0292%;Health Care;US;1.753.200,09 USD;35.001
RDDT;Reddit Inc;0,0291%;Technology;US;1.746.883,95 USD;11.865
LYB;LyondellBasell Industries NV;0,029%;Basic Materials;US;1.744.371,80 USD;23.383
DD;DuPont de Nemours Inc;0,029%;Industrials;US;1.743.892,38 USD;38.193
L;Loews Corp;0,0289%;Financials;US;1.736.784,03 USD;15.423
EVRG;Evergy Inc;0,0289%;Utilities;US;1.735.829,36 USD;20.954
LDOS;Leidos Holdings Inc;0,0289%;Technology;US;1.735.130,16 USD;11.628
FTV;Fortive Corp;0,0288%;Industrials;US;1.730.741,13 USD;28.947
GIS;General Mills Inc;0,0286%;Consumer Staples;US;1.722.421,80 USD;48.780
EL;Estee Lauder Cos Inc/The;0,0286%;Consumer Discretionary;US;1.720.912,14 USD;22.434
PKG;Packaging Corp of America;0,0286%;Industrials;US;1.717.845,60 USD;8048
LNT;Alliant Energy Corp;0,0286%;Utilities;US;1.716.059,10 USD;23.370
TSCO;Tractor Supply Co;0,0283%;Consumer Discretionary;US;1.700.946,00 USD;48.460
BBD/B;Bombardier Inc;0,0282%;Industrials;CA;1.694.389,54 USD;7990
BAM;Brookfield Asset Management Ltd;0,0279%;Financials;CA;1.677.504,68 USD;34.987
FFIV;F5 Inc;0,0279%;Technology;US;1.675.858,60 USD;5174
DLTR;Dollar Tree Inc;0,0278%;Consumer Discretionary;US;1.671.845,76 USD;17.216
LEN;Lennar Corp;0,0275%;Consumer Discretionary;US;1.652.490,00 USD;18.300
FWONK;Liberty Media Corp-Liberty Formula One;0,0273%;Consumer Discretionary;US;1.642.590,45 USD;19.111
CDW;CDW Corp/DE;0,0273%;Technology;US;1.640.318,71 USD;11.981
IFF;International Flavors & Fragrances Inc;0,0273%;Basic Materials;US;1.639.170,00 USD;23.350
BR;Broadridge Financial Solutions Inc;0,0272%;Financials;US;1.635.421,58 USD;10.621
WY;Weyerhaeuser Co;0,027%;Real Estate;US;1.623.689,88 USD;66.219
TSN;Tyson Foods Inc;0,027%;Consumer Staples;US;1.622.893,10 USD;25.330
TOU;Tourmaline Oil Corp;0,0269%;Energy;CA;1.615.196,39 USD;33.411
INVH;Invitation Homes Inc;0,0267%;Real Estate;US;1.607.523,75 USD;55.875
LUN;Lundin Mining Corp;0,0266%;Basic Materials;CA;1.599.421,16 USD;62.449
AMCR;Amcor PLC;0,0266%;Industrials;US;1.598.060,40 USD;42.010
FCNCA;First Citizens BancShares Inc/NC;0,0265%;Financials;US;1.591.023,64 USD;802
IMO;Imperial Oil Ltd;0,0264%;Energy;CA;1.585.382,15 USD;11.859
BRO;Brown & Brown Inc;0,026%;Financials;US;1.564.260,90 USD;26.006
FLUT;Flutter Entertainment PLC;0,0259%;Consumer Discretionary;US;1.555.271,30 USD;14.410
TXT;Textron Inc;0,0258%;Industrials;US;1.548.506,52 USD;16.137
MG;Magna International Inc;0,0257%;Consumer Discretionary;CA;1.544.044,89 USD;24.310
ESS;Essex Property Trust Inc;0,0255%;Real Estate;US;1.531.355,78 USD;5818
NVR;NVR Inc;0,0254%;Consumer Discretionary;US;1.528.440,54 USD;242
ROL;Rollins Inc;0,0254%;Consumer Discretionary;US;1.528.005,14 USD;27.418
LVS;Las Vegas Sands Corp;0,0254%;Consumer Discretionary;US;1.525.421,13 USD;27.933
FM;First Quantum Minerals Ltd;0,0252%;Basic Materials;CA;1.516.774,27 USD;62.071
AGI;Alamos Gold Inc;0,0252%;Basic Materials;CA;1.513.586,07 USD;38.010
IEX;IDEX Corp;0,025%;Industrials;US;1.503.165,00 USD;6900
BALL;Ball Corp;0,025%;Industrials;US;1.500.613,44 USD;24.568
ZBH;Zimmer Biomet Holdings Inc;0,0248%;Health Care;US;1.492.147,86 USD;18.102
PTC;PTC Inc;0,0244%;Technology;US;1.467.133,20 USD;10.764
TRMB;Trimble Inc;0,0244%;Industrials;US;1.465.489,08 USD;21.769
EMA;Emera Inc;0,0244%;Utilities;CA;1.464.201,75 USD;27.500
GPN;Global Payments Inc;0,0242%;Industrials;US;1.454.239,64 USD;20.209
IP;International Paper Co;0,0241%;Basic Materials;US;1.450.608,12 USD;47.686
WPC;WP Carey Inc;0,024%;Real Estate;US;1.442.774,19 USD;19.783
KIM;Kimco Realty Corp;0,024%;Real Estate;US;1.439.510,52 USD;60.893
SUI;Sun Communities Inc;0,0238%;Real Estate;US;1.431.552,32 USD;11.198
HEI/A;HEICO Corp;0,0235%;Industrials;US;1.412.975,20 USD;6760
INCY;Incyte Corp;0,0231%;Health Care;US;1.390.275,11 USD;14.593
J;Jacobs Solutions Inc;0,0231%;Industrials;US;1.387.275,20 USD;10.720
WRB;W R Berkley Corp;0,0228%;Financials;US;1.372.955,52 USD;20.544
MAA;Mid-America Apartment Communities Inc;0,0228%;Real Estate;US;1.370.212,26 USD;10.607
GPC;Genuine Parts Co;0,0226%;Consumer Discretionary;US;1.355.494,43 USD;12.641
DECK;Deckers Outdoor Corp;0,0226%;Consumer Discretionary;US;1.355.376,40 USD;13.262
EG;Everest Group Ltd;0,0225%;Financials;US;1.354.974,48 USD;3798
TYL;Tyler Technologies Inc;0,0225%;Technology;US;1.351.937,82 USD;3963
SSNC;SS&C Technologies Holdings Inc;0,022%;Technology;US;1.323.422,10 USD;19.097
CSGP;CoStar Group Inc;0,0219%;Real Estate;US;1.317.741,14 USD;38.074
SCCO;Southern Copper Corp;0,0219%;Basic Materials;US;1.314.802,02 USD;7658
WCP;Whitecap Resources Inc;0,0216%;Energy;CA;1.299.983,42 USD;110.381
GWO;Great-West Lifeco Inc;0,0216%;Financials;CA;1.297.812,09 USD;24.338
LULU;Lululemon Athletica Inc;0,0215%;Consumer Discretionary;US;1.294.793,10 USD;9403
SMCI;Super Micro Computer Inc;0,0213%;Technology;US;1.281.114,40 USD;46.756
TRU;TransUnion;0,021%;Industrials;US;1.260.605,00 USD;17.755
ARX;ARC Resources Ltd;0,0207%;Energy;CA;1.242.473,84 USD;52.487
CHTR;Charter Communications Inc;0,0206%;Telecommunications;US;1.240.096,36 USD;7508
H;Hydro One Ltd;0,0206%;Utilities;CA;1.240.391,18 USD;28.929
FNF;Fidelity National Financial Inc;0,0205%;Financials;US;1.229.886,80 USD;23.516
PNR;Pentair PLC;0,02%;Industrials;US;1.201.691,19 USD;14.889
CG;Carlyle Group Inc/The;0,02%;Financials;US;1.200.227,97 USD;23.971
RIVN;Rivian Automotive Inc;0,02%;Consumer Discretionary;US;1.199.824,00 USD;73.160
APTV;Aptiv Holdings Ltd;0,0199%;Consumer Discretionary;US;1.195.076,32 USD;19.832
SOLS;Solstice Advanced Materials Inc;0,0198%;Basic Materials;US;1.189.340,35 USD;14.513
ZS;Zscaler Inc;0,0198%;Technology;US;1.187.619,84 USD;9088
MRU;Metro Inc/CN;0,0197%;Consumer Staples;CA;1.186.302,20 USD;17.732
MKC;McCormick & Co Inc/MD;0,0196%;Consumer Staples;US;1.175.014,08 USD;23.112
FOXA;Fox Corp;0,0195%;Consumer Discretionary;US;1.172.215,87 USD;18.463
;Thomson Reuters Corp;0,0195%;Technology;CA;1.170.615,15 USD;12.262
TIH;Toromont Industries Ltd;0,0192%;Industrials;CA;1.155.339,73 USD;7445
AVY;Avery Dennison Corp;0,0192%;Basic Materials;US;1.153.083,62 USD;7034
GIB/A;CGI Inc;0,019%;Technology;CA;1.142.419,36 USD;17.489
OKTA;Okta Inc;0,0187%;Technology;US;1.125.592,95 USD;15.283
COO;Cooper Cos Inc/The;0,0187%;Health Care;US;1.124.526,20 USD;17.878
EQH;Equitable Holdings Inc;0,0185%;Financials;US;1.111.505,80 USD;26.339
PODD;Insulet Corp;0,0183%;Health Care;US;1.102.212,42 USD;6403
ALLE;Allegion plc;0,018%;Industrials;US;1.080.180,36 USD;7857
IAG;iA Financial Corp Inc;0,0179%;Financials;CA;1.076.200,71 USD;8379
BBY;Best Buy Co Inc;0,0177%;Consumer Discretionary;US;1.065.773,31 USD;17.619
GDDY;GoDaddy Inc;0,0177%;Technology;US;1.061.702,07 USD;12.233
ALA;AltaGas Ltd;0,0176%;Utilities;CA;1.060.877,47 USD;28.363
HEI;HEICO Corp;0,0176%;Industrials;US;1.059.436,00 USD;3925
PINS;Pinterest Inc;0,0175%;Technology;US;1.053.028,92 USD;53.562
ATRL;AtkinsRealis Group Inc;0,0173%;Industrials;CA;1.041.696,94 USD;15.127
TEAM;Atlassian Corp;0,0173%;Technology;US;1.037.149,39 USD;15.121
HUBS;HubSpot Inc;0,0171%;Technology;US;1.030.518,72 USD;4647
WN;George Weston Ltd;0,0171%;Consumer Staples;CA;1.027.402,80 USD;14.265
X;TMX Group Ltd;0,017%;Financials;CA;1.019.350,23 USD;25.044
DAL;Delta Air Lines Inc;0,017%;Consumer Discretionary;US;1.018.898,14 USD;14.986
JKHY;Jack Henry & Associates Inc;0,017%;Industrials;US;1.019.055,00 USD;6628
GIL;Gildan Activewear Inc;0,0169%;Consumer Discretionary;CA;1.017.037,91 USD;16.421
TFII;TFI International Inc;0,0169%;Industrials;CA;1.016.138,24 USD;7116
DPZ;Domino's Pizza Inc;0,0162%;Consumer Discretionary;US;970.741,20 USD;2860
GFL;GFL Environmental Inc;0,0161%;Utilities;CA;965.792,37 USD;24.120
GEN;Gen Digital Inc;0,016%;Technology;US;961.452,18 USD;49.842
IT;Gartner Inc;0,0159%;Technology;US;955.978,62 USD;6438
STN;Stantec Inc;0,0158%;Industrials;CA;949.203,47 USD;10.414
EQX;Equinox Gold Corp;0,0157%;Basic Materials;CA;945.109,46 USD;67.776
TTD;Trade Desk Inc/The;0,0157%;Consumer Discretionary;US;941.972,29 USD;39.931
IMG;IAMGOLD Corp;0,0151%;Basic Materials;CA;907.631,52 USD;54.041
NWSA;News Corp;0,0149%;Consumer Discretionary;US;896.511,84 USD;34.062
EFN;Element Fleet Management Corp;0,0146%;Industrials;CA;878.619,26 USD;36.876
AG;First Majestic Silver Corp;0,0144%;Basic Materials;CA;867.404,63 USD;44.119
CHKP;Check Point Software Technologies Ltd;0,0143%;Technology;US;858.371,04 USD;7632
DOCU;DocuSign Inc;0,014%;Technology;US;843.548,58 USD;18.342
FOX;Fox Corp;0,0133%;Consumer Discretionary;US;800.674,84 USD;14.042
KEY;Keyera Corp;0,0133%;Energy;CA;796.203,07 USD;20.650
CAE;CAE Inc;0,0127%;Industrials;CA;761.120,42 USD;29.182
GFS;GLOBALFOUNDRIES Inc;0,0121%;Technology;US;725.910,20 USD;11.237
BRK/A;Berkshire Hathaway Inc;0,0118%;Financials;US;711.900,00 USD;1
UAL;United Airlines Holdings Inc;0,0112%;Consumer Discretionary;US;674.100,00 USD;7490
BCE;BCE Inc;0,0112%;Telecommunications;CA;672.660,08 USD;28.363
SAP;Saputo Inc;0,0112%;Consumer Staples;CA;672.324,86 USD;22.249
Z;Zillow Group Inc;0,0109%;Real Estate;US;653.523,60 USD;14.719
CTC/A;Canadian Tire Corp Ltd;0,0103%;Consumer Discretionary;CA;619.151,80 USD;4461
LUG;Lundin Gold Inc;0,01%;Basic Materials;CA;599.411,31 USD;8937
T;TELUS Corp;0,0099%;Telecommunications;CA;595.081,31 USD;47.617
IVN;Ivanhoe Mines Ltd;0,0095%;Basic Materials;CA;572.644,92 USD;70.857
DSG;Descartes Systems Group Inc/The;0,0093%;Technology;CA;559.285,63 USD;7767
VSNT;Versant Media Group Inc;0,009%;Consumer Discretionary;US;542.283,67 USD;13.493
OTEX;Open Text Corp;0,0085%;Technology;CA;509.547,24 USD;22.525
FSV;FirstService Corp;0,0083%;Real Estate;CA;500.122,99 USD;3740
LUV;Southwest Airlines Co;0,0074%;Consumer Discretionary;US;446.621,76 USD;11.778
IGM;IGM Financial Inc;0,0068%;Financials;CA;410.447,59 USD;7377
UI;Ubiquiti Inc;0,0066%;Telecommunications;US;395.695,91 USD;391
NWS;News Corp;0,006%;Consumer Discretionary;US;362.468,16 USD;11.892
VGNT;Versigent PLC;0,0039%;Industrials;US;231.746,19 USD;6627
ZG;Zillow Group Inc;0,0035%;Real Estate;US;208.819,41 USD;4681
QBR/B;Quebecor Inc;0,0032%;Telecommunications;CA;194.674,98 USD;4634
FWONA;Liberty Media Corp-Liberty Formula One;0,0028%;Consumer Discretionary;US;168.062,40 USD;2122
LEN/B;Lennar Corp;0,0019%;Consumer Discretionary;US;111.977,46 USD;1267
BBD/A;Bombardier Inc;0,0005%;Industrials;CA;30.830,21 USD;145
2299955D;Constellation Software Inc/Canada;0,00%;Technology;CA;0,01 USD;1232
;Hologic Inc;0,00%;;US;201,18 USD;20.118
;;;;;;
"Le percentuali di allocazione totali mostrate nei dettagli delle partecipazioni o nel foglio di calcolo potrebbero non essere pari al 100%, a causa di arrotondamenti o omissioni di contanti e/o strumenti derivati.
Il valore degli investimenti e il reddito da essi derivante possono diminuire o aumentare, e gli investitori potrebbero non recuperare l'intero capitale investito.
Le esposizioni azionarie ponderate escludono eventuali investimenti temporanei in liquidità e i derivati su indici azionari.
";;;;;;
