Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
ABT;Abbott Laboratories;0,2393%;Health Care;US;14.386.311,03 USD;158.457
SNDK;Sandisk Corp/DE;0,2388%;Technology;US;14.352.219,39 USD;13.089
COP;ConocoPhillips;0,2369%;Energy;US;14.241.943,62 USD;113.229
SCHW;Charles Schwab Corp/The;0,2329%;Financials;US;14.002.592,00 USD;152.800
PFE;Pfizer Inc;0,2309%;Health Care;US;13.879.354,20 USD;519.826
UBER;Uber Technologies Inc;0,2287%;Consumer Discretionary;US;13.745.847,96 USD;184.236
WELL;Welltower Inc;0,2274%;Real Estate;US;13.670.468,66 USD;62.899
SHOP;Shopify Inc;0,226%;Technology;CA;13.583.248,31 USD;112.131
WDC;Western Digital Corp;0,225%;Technology;US;13.524.869,52 USD;31.126
STX;Seagate Technology Holdings PLC;0,2231%;Technology;US;13.410.825,12 USD;19.908
DE;Deere & Co;0,2194%;Industrials;US;13.190.672,94 USD;22.362
PANW;Palo Alto Networks Inc;0,2183%;Technology;US;13.123.354,88 USD;73.184
MRVL;Marvell Technology Inc;0,2128%;Technology;US;12.790.537,20 USD;77.448
BKNG;Booking Holdings Inc;0,2086%;Consumer Discretionary;US;12.537.264,12 USD;74.467
HON;Honeywell International Inc;0,2075%;Industrials;US;12.472.505,69 USD;58.193
LOW;Lowe's Cos Inc;0,2037%;Consumer Discretionary;US;12.247.300,31 USD;51.289
PLD;Prologis Inc;0,2005%;Real Estate;US;12.054.799,62 USD;84.881
SPGI;S&P Global Inc;0,1991%;Financials;US;11.965.770,04 USD;27.748
GLW;Corning Inc;0,1951%;Technology;US;11.730.020,80 USD;71.420
VRT;Vertiv Holdings Co;0,1903%;Technology;US;11.438.678,78 USD;34.822
BMY;Bristol-Myers Squibb Co;0,188%;Health Care;US;11.303.185,68 USD;186.552
MO;Altria Group Inc;0,1866%;Consumer Staples;US;11.214.254,00 USD;154.360
NEM;Newmont Corp;0,1858%;Basic Materials;US;11.167.211,16 USD;100.524
ENB;Enbridge Inc;0,1839%;Energy;CA;11.052.911,04 USD;199.683
SBUX;Starbucks Corp;0,1824%;Consumer Discretionary;US;10.963.273,05 USD;104.085
CB;Chubb Ltd;0,1819%;Financials;US;10.933.572,00 USD;33.436
PGR;Progressive Corp/The;0,1795%;Financials;US;10.791.425,92 USD;53.614
COF;Capital One Financial Corp;0,179%;Industrials;US;10.758.329,40 USD;56.238
PH;Parker-Hannifin Corp;0,1751%;Industrials;US;10.527.445,92 USD;11.576
DHR;Danaher Corp;0,1716%;Health Care;US;10.315.035,90 USD;57.642
CRWD;Crowdstrike Holdings Inc;0,1677%;Technology;US;10.083.310,75 USD;22.621
ACN;Accenture PLC;0,1674%;Industrials;US;10.065.125,91 USD;56.321
TT;Trane Technologies PLC;0,1672%;Industrials;US;10.050.278,70 USD;20.405
VRTX;Vertex Pharmaceuticals Inc;0,1652%;Health Care;US;9.929.319,54 USD;23.233
SYK;Stryker Corp;0,1651%;Health Care;US;9.925.649,61 USD;31.497
BMO;Bank of Montreal;0,1641%;Financials;CA;9.862.245,48 USD;64.898
PWR;Quanta Services Inc;0,1632%;Industrials;US;9.807.428,52 USD;13.476
LMT;Lockheed Martin Corp;0,1627%;Industrials;US;9.777.201,72 USD;18.876
SO;Southern Co/The;0,1623%;Utilities;US;9.753.742,20 USD;100.866
APP;AppLovin Corp;0,162%;Technology;US;9.736.232,55 USD;21.813
INTU;Intuit Inc;0,1614%;Technology;US;9.704.730,00 USD;24.980
EQIX;Equinix Inc;0,1611%;Real Estate;US;9.681.583,03 USD;8941
CM;Canadian Imperial Bank of Commerce;0,1593%;Financials;CA;9.573.598,17 USD;85.971
CVS;CVS Health Corp;0,1588%;Consumer Staples;US;9.547.449,41 USD;114.629
MDT;Medtronic PLC;0,1581%;Health Care;US;9.502.477,26 USD;117.358
CME;CME Group Inc;0,1576%;Financials;US;9.472.444,02 USD;32.911
ADBE;Adobe Inc;0,1536%;Technology;US;9.232.933,70 USD;37.517
DUK;Duke Energy Corp;0,1534%;Utilities;US;9.223.571,35 USD;71.197
MCK;McKesson Corp;0,1533%;Consumer Staples;US;9.217.466,40 USD;11.307
CMCSA;Comcast Corp;0,1488%;Telecommunications;US;8.946.373,28 USD;330.857
CEG;Constellation Energy Corp;0,1487%;Utilities;US;8.936.776,00 USD;28.552
HWM;Howmet Aerospace Inc;0,1484%;Industrials;US;8.918.595,84 USD;36.696
CNQ;Canadian Natural Resources Ltd;0,1482%;Energy;CA;8.909.533,35 USD;187.026
BNS;Bank of Nova Scotia/The;0,1475%;Financials;CA;8.869.014,06 USD;114.228
BN;Brookfield Corp;0,1453%;Financials;CA;8.735.309,68 USD;193.800
TMUS;T-Mobile US Inc;0,1434%;Telecommunications;US;8.622.527,50 USD;44.105
AEM;Agnico Eagle Mines Ltd;0,1426%;Basic Materials;CA;8.569.506,66 USD;45.664
BX;Blackstone Inc;0,1419%;Financials;US;8.527.761,06 USD;67.907
WMB;Williams Cos Inc/The;0,1414%;Energy;US;8.502.536,51 USD;111.421
BK;Bank of New York Mellon Corp/The;0,1409%;Financials;US;8.470.819,17 USD;63.041
CMI;Cummins Inc;0,1404%;Industrials;US;8.438.621,76 USD;12.576
NOW;ServiceNow Inc;0,1404%;Technology;US;8.436.607,54 USD;95.534
SNPS;Synopsys Inc;0,1403%;Technology;US;8.434.400,20 USD;17.477
ICE;Intercontinental Exchange Inc;0,1373%;Financials;US;8.255.143,62 USD;52.218
CDNS;Cadence Design Systems Inc;0,1369%;Technology;US;8.226.236,81 USD;24.959
JCI;Johnson Controls International plc;0,1361%;Industrials;US;8.180.162,51 USD;56.017
USB;US Bancorp;0,1347%;Financials;US;8.095.807,44 USD;142.884
GD;General Dynamics Corp;0,1324%;Industrials;US;7.961.248,90 USD;23.123
PNC;PNC Financial Services Group Inc/The;0,1322%;Financials;US;7.945.936,00 USD;35.632
FDX;FedEx Corp;0,1315%;Industrials;US;7.903.262,76 USD;19.596
WM;Waste Management Inc;0,131%;Utilities;US;7.874.608,10 USD;33.862
ADP;Automatic Data Processing Inc;0,1303%;Industrials;US;7.833.302,40 USD;36.960
AMT;American Tower Corp;0,1301%;Real Estate;US;7.818.891,74 USD;42.794
SLB;SLB Ltd;0,1299%;Energy;US;7.811.330,40 USD;137.330
CSX;CSX Corp;0,1298%;Industrials;US;7.804.737,71 USD;171.797
BSX;Boston Scientific Corp;0,1295%;Health Care;US;7.781.670,75 USD;135.075
MELI;MercadoLibre Inc;0,1286%;Consumer Discretionary;US;7.728.027,93 USD;4311
ORLY;O'Reilly Automotive Inc;0,1274%;Consumer Discretionary;US;7.658.670,60 USD;77.049
FCX;Freeport-McMoRan Inc;0,1259%;Basic Materials;US;7.565.655,42 USD;130.939
SU;Suncor Energy Inc;0,1254%;Energy;CA;7.539.336,39 USD;110.247
MRSH;Marsh & McLennan Cos Inc;0,124%;Financials;US;7.456.218,89 USD;44.459
MAR;Marriott International Inc/MD;0,1222%;Consumer Discretionary;US;7.343.753,76 USD;20.304
ELV;Elevance Health Inc;0,1215%;Health Care;US;7.304.806,52 USD;19.406
UPS;United Parcel Service Inc;0,1214%;Industrials;US;7.300.262,40 USD;67.098
MDLZ;Mondelez International Inc;0,1211%;Consumer Staples;US;7.280.947,20 USD;118.505
CRH;CRH PLC;0,121%;Industrials;US;7.272.527,46 USD;61.413
EMR;Emerson Electric Co;0,1204%;Industrials;US;7.236.030,56 USD;51.524
CP;Canadian Pacific Kansas City Ltd;0,1191%;Industrials;CA;7.161.570,24 USD;82.509
MMM;3M Co;0,119%;Industrials;US;7.152.373,80 USD;48.815
NOC;Northrop Grumman Corp;0,118%;Industrials;US;7.091.676,24 USD;12.238
EOG;EOG Resources Inc;0,117%;Energy;US;7.032.154,82 USD;50.026
VLO;Valero Energy Corp;0,1169%;Energy;US;7.028.291,08 USD;27.826
CI;Cigna Group/The;0,1164%;Health Care;US;6.996.875,82 USD;24.079
ITW;Illinois Tool Works Inc;0,1139%;Industrials;US;6.847.585,40 USD;26.540
MPWR;Monolithic Power Systems Inc;0,1138%;Technology;US;6.838.640,76 USD;4236
MPC;Marathon Petroleum Corp;0,1137%;Energy;US;6.834.678,83 USD;27.527
CIEN;Ciena Corp;0,1132%;Telecommunications;US;6.806.309,58 USD;12.901
NXPI;NXP Semiconductors NV;0,113%;Technology;US;6.790.149,52 USD;23.128
SHW;Sherwin-Williams Co/The;0,1129%;Industrials;US;6.785.649,39 USD;21.099
HLT;Hilton Worldwide Holdings Inc;0,1125%;Consumer Discretionary;US;6.764.313,11 USD;20.873
AEP;American Electric Power Co Inc;0,1116%;Utilities;US;6.710.437,62 USD;48.942
MSI;Motorola Solutions Inc;0,1114%;Telecommunications;US;6.693.451,38 USD;15.246
ROST;Ross Stores Inc;0,1104%;Consumer Discretionary;US;6.638.711,76 USD;29.144
PSX;Phillips 66;0,11%;Energy;US;6.609.918,40 USD;36.896
MCO;Moody's Corp;0,1093%;Financials;US;6.572.587,35 USD;14.231
REGN;Regeneron Pharmaceuticals Inc;0,1092%;Health Care;US;6.565.759,16 USD;9286
NSC;Norfolk Southern Corp;0,1085%;Industrials;US;6.521.257,84 USD;20.648
KKR;KKR & Co Inc;0,1077%;Financials;US;6.476.070,78 USD;62.067
HCA;HCA Healthcare Inc;0,1072%;Health Care;US;6.445.065,75 USD;14.835
TRP;TC Energy Corp;0,1058%;Energy;CA;6.361.748,29 USD;95.070
GM;General Motors Co;0,1058%;Consumer Discretionary;US;6.361.955,49 USD;82.741
DLR;Digital Realty Trust Inc;0,1053%;Real Estate;US;6.330.815,64 USD;31.506
BKR;Baker Hughes Co;0,1052%;Energy;US;6.321.716,46 USD;90.738
SPOT;Spotify Technology SA;0,1046%;Consumer Discretionary;US;6.284.744,70 USD;14.074
CL;Colgate-Palmolive Co;0,1045%;Consumer Staples;US;6.282.922,80 USD;73.605
RCL;Royal Caribbean Cruises Ltd;0,1016%;Consumer Discretionary;US;6.108.154,08 USD;23.158
