;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Core Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;19.567,83 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JE00B4T3BW64;GLENCORE PLC GBP;EQUITY;GBP; 0,50%;Materiali;Regno Unito
;SE0015811963;INVESTOR AB-B SHS;EQUITY;SEK; 0,49%;Finanziari;Svezia
;ES0148396007;INDUSTRIA DE DISENO TEXTIL;EQUITY;EUR; 0,47%;Beni voluttuari;Spagna
;DE0008430026;MUENCHENER RUECKVER AG-REG;EQUITY;EUR; 0,45%;Finanziari;Germania
;FR0000052292;HERMES INTERNATIONAL;EQUITY;EUR; 0,44%;Beni voluttuari;Francia
;GB00BM8PJY71;NATWEST GROUP PLC;EQUITY;GBP; 0,43%;Finanziari;Regno Unito
;DE0007030009;RHEINMETALL ORD;EQUITY;EUR; 0,43%;Industrali;Germania
;GB00B2B0DG97;RELX PLC;EQUITY;GBP; 0,43%;Industrali;Regno Unito
;FI4000297767;NORDEA BANK ABP;EQUITY;EUR; 0,42%;Finanziari;Finlandia
;FR0000130809;SOCIETE GENERALE;EQUITY;EUR; 0,42%;Finanziari;Francia
;GB00B0SWJX34;LONDON STOCK EXCHANGE GROUP GBP;EQUITY;GBP; 0,42%;Finanziari;Regno Unito
;FR0000121667;ESSILORLUXOTTICA;EQUITY;EUR; 0,42%;Sanità;Francia
;DE0005140008;DEUTSCHE BANK AG NAMEN;EQUITY;EUR; 0,41%;Finanziari;Germania
;GB00BD6K4575;COMPASS GROUP PLC;EQUITY;USD; 0,40%;Beni voluttuari;Regno Unito
;DE0005552004;DHL GROUP (XETRA);EQUITY;EUR; 0,38%;Industrali;Germania
;NL0013654783;PROSUS NV;EQUITY;EUR; 0,38%;Beni voluttuari;Paesi Bassi
;GB00BTK05J60;ANGLO AMERICAN PLC GBP;EQUITY;GBP; 0,38%;Materiali;Regno Unito
;NL0010832176;ARGENX SE;EQUITY;EUR; 0,37%;Sanità;Belgio
;SE0000115446;VOLVO AB-B SHS;EQUITY;SEK; 0,36%;Industrali;Svezia
;IT0003132476;ENI SPA MILAN;EQUITY;EUR; 0,35%;Energia;Italia
;DE000BASF111;BASF SE XETRA;EQUITY;EUR; 0,35%;Materiali;Germania
;DE0005810055;DEUTSCHE BOERSE AG;EQUITY;EUR; 0,35%;Finanziari;Germania
;IT0004176001;PRYSMIAN SPA;EQUITY;EUR; 0,33%;Industrali;Italia
;CH0012214059;HOLCIM LTD;EQUITY;CHF; 0,33%;Materiali;Svizzera
;NL0000334118;ASM INTERNATIONAL NV;EQUITY;EUR; 0,33%;Information Technology;Paesi Bassi
;DK0060079531;DSV A/S (DKK);EQUITY;DKK; 0,33%;Industrali;Dinamarca
;SE0017486889;ATLAS COPCO AB-A SHS;EQUITY;SEK; 0,32%;Industrali;Svezia
;IT0000062072;GENERALI MILAN;EQUITY;EUR; 0,32%;Finanziari;Italia
;NL0000226223;STMICROELECTRONICS/MILAN;EQUITY;EUR; 0,32%;Information Technology;Italia
;GB0004082847;STANDARD CHARTERED PLC;EQUITY;GBP; 0,31%;Finanziari;Regno Unito
