;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Japan UCITS ETF DR (D);;;;;
;Codice ISIN;LU1931974775;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;680.212,03 mln JPY;;;;;
;Valuta di riferimento;JPY;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JP3519400000;CHUGAI PHARMACEUTICAL CO LTD;EQUITY;JPY; 0,53%;Sanità;Giappone
;JP3188220002;OTSUKA HOLDINGS CO LTD;EQUITY;JPY; 0,51%;Sanità;Giappone
;JP3148800000;IBIDEN CO LTD;EQUITY;JPY; 0,51%;Information Technology;Giappone
;JP3899600005;MITSUBISHI ESTATE CO LTD Y50;EQUITY;JPY; 0,50%;Immobiliare;Giappone
;JP3500610005;RESONA HOLDINGS INC;EQUITY;JPY; 0,50%;Finanziari;Giappone
;JP3946750001;JAPAN POST BANK CO LTD;EQUITY;JPY; 0,47%;Finanziari;Giappone
;JP3475350009;DAIICHI SANKYO;EQUITY;JPY; 0,47%;Sanità;Giappone
;JP3422950000;SEVEN & I HOLDINGS CO LTD;EQUITY;JPY; 0,46%;Beni di prima necessità;Giappone
;JP3635000007;TOYOTA TSUSHO CORP;EQUITY;JPY; 0,46%;Industrali;Giappone
;JP3119600009;AJINOMOTO CO INC;EQUITY;JPY; 0,46%;Beni di prima necessità;Giappone
;JP3814000000;FUJIFILM HOLDINGS CORP;EQUITY;JPY; 0,45%;Information Technology;Giappone
;JP3762600009;NOMURA HOLDINGS INC;EQUITY;JPY; 0,45%;Finanziari;Giappone
;JP3893200000;MITSUI FUDOSAN CO  JPY50;EQUITY;JPY; 0,44%;Immobiliare;Giappone
;;;CASH;JPY; 0,43%; ; 
;JP3242800005;CANON INC;EQUITY;JPY; 0,43%;Information Technology;Giappone
;JP3942400007;ASTELLAS PHARMA INC;EQUITY;JPY; 0,42%;Sanità;Giappone
;JP3892100003;SUMITOMO MITSUI TRUST HOLDINGS;EQUITY;JPY; 0,41%;Finanziari;Giappone
;JP3752900005;JAPAN POST HOLDINGS CO LTD;EQUITY;JPY; 0,40%;Finanziari;Giappone
;JP3162600005;SMC CORP;EQUITY;JPY; 0,40%;Industrali;Giappone
;JP3830800003;BRIDGESTONE CORP  JPY50;EQUITY;JPY; 0,39%;Beni voluttuari;Giappone
;JP3783600004;EAST JAPAN RAILWAY JPY50000;EQUITY;JPY; 0,38%;Industrali;Giappone
;JP3386450005;ENEOS HOLDINGS INC;EQUITY;JPY; 0,37%;Energy;Giappone
;JP3979200007;LASERTEC CORP;EQUITY;JPY; 0,36%;Information Technology;Giappone
;JP3388200002;AEON CO LTD;EQUITY;JPY; 0,35%;Beni di prima necessità;Giappone
;JP3827200001;FURUKAWA ELECTRIC CO;EQUITY;JPY; 0,35%;Industrali;Giappone
;JP3294460005;INPEX CORP;EQUITY;JPY; 0,34%;Energy;Giappone
;JP3551500006;DENSO CORP;EQUITY;JPY; 0,34%;Beni voluttuari;Giappone
;JP3546800008;TERUMO CORP  JPY50;EQUITY;JPY; 0,33%;Sanità;Giappone
;JP3368000000;RESONAC HOLDINGS CORP;EQUITY;JPY; 0,33%;Materiali;Giappone
;JP3397200001;SUZUKI MOTOR CORP  Y50;EQUITY;JPY; 0,32%;Beni voluttuari;Giappone
;JP3409000001;SUMITOMO REALTY & DEVELOPMEN;EQUITY;JPY; 0,32%;Immobiliare;Giappone
;JP3566800003;CENTRAL JAPAN RAILWAY CO;EQUITY;JPY; 0,31%;Industrali;Giappone
;JP3118000003;ASICS CORP;EQUITY;JPY; 0,30%;Beni voluttuari;Giappone
;JP3381000003;NIPPON STEEL SUMITOMO METAL;EQUITY;JPY; 0,30%;Materiali;Giappone
;JP3266400005;KUBOTA CORP  JPY50;EQUITY;JPY; 0,29%;Industrali;Giappone
;JP3134800006;IHI CORP;EQUITY;JPY; 0,29%;Industrali;Giappone
;JP3421800008;SECOM CO LTD;EQUITY;JPY; 0,29%;Industrali;Giappone
;JP3205800000;KAO CORP;EQUITY;JPY; 0,28%;Beni di prima necessità;Giappone
;JP3166000004;EBARA CORP;EQUITY;JPY; 0,28%;Industrali;Giappone
;JP3734800000;NIDEC CORP;EQUITY;JPY; 0,27%;Industrali;Giappone
;JP3888400003;MITSUI KINZOKU CO LTD;EQUITY;JPY; 0,26%;Materiali;Giappone
;JP3210200006;KAJIMA CORP  JPY50;EQUITY;JPY; 0,26%;Industrali;Giappone
;JP3505000004;DAIWA HOUSE INDUSTRY;EQUITY;JPY; 0,26%;Immobiliare;Giappone
;JP3198900007;ORIENTAL LAND CO LTD;EQUITY;JPY; 0,26%;Beni voluttuari;Giappone
;JP3497400006;DAIFUKU CO LTD;EQUITY;JPY; 0,25%;Industrali;Giappone
;JP3224200000;KAWASAKI HEAVY IND JPY50;EQUITY;JPY; 0,25%;Industrali;Giappone
;JP3111200006;ASAHI KASEI CORP;EQUITY;JPY; 0,24%;Materiali;Giappone
;JP3402600005;SUMITOMO METAL MNG JPY50;EQUITY;JPY; 0,24%;Materiali;Giappone
;JP3116000005;ASAHI GROUP HOLDINGS;EQUITY;JPY; 0,24%;Beni di prima necessità;Giappone
;JP3347200002;SHIONOGI & CO LTD;EQUITY;JPY; 0,24%;Sanità;Giappone
;;;CASH;JPY; 0,24%; ; 
;JP3778630008;BANDAI NAMCO HOLDINGS INC;EQUITY;JPY; 0,23%;Beni voluttuari;Giappone
;JP3753000003;NIPPON YUSEN KK  JPY50;EQUITY;JPY; 0,23%;Industrali;Giappone
;JP3539220008;T&D HOLDINGS INC;EQUITY;JPY; 0,23%;Finanziari;Giappone
