05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
3037;UNIMICRON TECHNOLOGY CORP;IT;Azionario;125.186.165,61;0,28;125.186.165,61;4.229.159,00;29,60;Taiwan;Taiwan Stock Exchange;TWD
2327;YAGEO CORP;IT;Azionario;124.571.485,84;0,28;124.571.485,84;5.105.892,00;24,40;Taiwan;Taiwan Stock Exchange;TWD
105560;KB FINANCIAL GROUP INC;Finanziari;Azionario;123.023.323,21;0,28;123.023.323,21;1.104.629,00;111,37;Corea;Korea Exchange (Stock Market);KRW
2222;SAUDI ARABIAN OIL;Energia;Azionario;122.218.958,36;0,28;122.218.958,36;16.896.006,00;7,23;Arabia Saudita;Saudi Stock Exchange;SAR
NU;NU HOLDINGS CLASS A;Finanziari;Azionario;120.173.772,60;0,27;120.173.772,60;10.039.580,00;11,97;Brasile;New York Stock Exchange Inc.;USD
INFY;INFOSYS LTD;IT;Azionario;117.077.706,12;0,27;117.077.706,12;9.281.769,00;12,61;India;National Stock Exchange Of India;INR
ITUB4;ITAU UNIBANCO HOLDING PREF SA;Finanziari;Azionario;115.114.480,35;0,26;115.114.480,35;15.182.927,00;7,58;Brasile;XBSP;BRL
GMEXICOB;GRUPO MEXICO B;Materiali;Azionario;109.022.893,54;0,25;109.022.893,54;9.325.658,00;11,69;Messico;Bolsa Mexicana De Valores;MXN
2891;CTBC FINANCIAL HOLDING LTD;Finanziari;Azionario;107.669.057,61;0,24;107.669.057,61;50.956.079,00;2,11;Taiwan;Taiwan Stock Exchange;TWD
9618;JD.COM CLASS A INC;Consumi Discrezionali;Azionario;106.615.014,51;0,24;106.615.014,51;7.213.408,00;14,78;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
9888;BAIDU CLASS A INC;Comunicazione;Azionario;105.468.924,31;0,24;105.468.924,31;6.579.086,00;16,03;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2382;QUANTA COMPUTER INC;IT;Azionario;105.109.598,82;0,24;105.109.598,82;8.484.000,00;12,39;Taiwan;Taiwan Stock Exchange;TWD
DELTA.R;DELTA ELECTRONICS (THAILAND) NON-V;IT;Azionario;102.962.019,61;0,23;102.962.019,61;9.794.900,00;10,51;Tailandia;Stock Exchange Of Thailand;THB
GFI;GOLD FIELDS LTD;Materiali;Azionario;101.833.169,86;0,23;101.833.169,86;2.766.493,00;36,81;Sud Africa;Johannesburg Stock Exchange;ZAR
2881;FUBON FINANCIAL HOLDING LTD;Finanziari;Azionario;96.584.464,73;0,22;96.584.464,73;25.799.102,00;3,74;Taiwan;Taiwan Stock Exchange;TWD
AXISBANK;AXIS BANK LTD;Finanziari;Azionario;94.305.625,34;0,21;94.305.625,34;7.036.880,00;13,40;India;National Stock Exchange Of India;INR
2360;CHROMA ATE INC;IT;Azionario;93.991.814,59;0,21;93.991.814,59;1.155.000,00;81,38;Taiwan;Taiwan Stock Exchange;TWD
PETR4;PETROLEO BRASILEIRO PREF SA;Energia;Azionario;93.657.680,92;0,21;93.657.680,92;11.730.573,00;7,98;Brasile;XBSP;BRL
2882;CATHAY FINANCIAL HOLDING LTD;Finanziari;Azionario;93.528.707,63;0,21;93.528.707,63;29.479.781,00;3,17;Taiwan;Taiwan Stock Exchange;TWD
055550;SHINHAN FINANCIAL GROUP LTD;Finanziari;Azionario;92.931.545,30;0,21;92.931.545,30;1.331.990,00;69,77;Corea;Korea Exchange (Stock Market);KRW
OTP;OTP BANK;Finanziari;Azionario;91.030.782,34;0,21;91.030.782,34;687.173,00;132,47;Ungheria;Budapest Stock Exchange;HUF
KFH;KUWAIT FINANCE HOUSE;Finanziari;Azionario;90.913.542,38;0,21;90.913.542,38;36.224.829,00;2,51;Kuwait;Kuwait Stock Exchange;KWD
