05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
DIALOG;DIALOG GROUP;Energia;Azionario;6.393.454,46;0,01;6.393.454,46;12.501.376,00;0,51;Malesia;Bursa Malaysia;MYR
1357;MEITU INC;Comunicazione;Azionario;6.393.494,45;0,01;6.393.494,45;9.978.500,00;0,64;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
M&MFIN;MAHINDRA AND MAHINDRA FINANCIAL SE;Finanziari;Azionario;6.377.913,61;0,01;6.377.913,61;2.088.995,00;3,05;India;National Stock Exchange Of India;INR
QEWS;NEBRAS ENERGY;Imprese di servizi di pubblica utilità;Azionario;6.360.882,39;0,01;6.360.882,39;1.630.984,00;3,90;Qatar;Qatar Exchange;QAR
2451;TRANSCEND INFORMATION INC;IT;Azionario;6.354.621,74;0,01;6.354.621,74;623.000,00;10,20;Taiwan;Taiwan Stock Exchange;TWD
6121;SIMPLO TECHNOLOGY LTD;IT;Azionario;6.351.004,93;0,01;6.351.004,93;473.800,00;13,40;Taiwan;Gretai Securities Market;TWD
IFS;INTERCORP FINANCIAL SERVICES INC;Finanziari;Azionario;6.321.901,92;0,01;6.321.901,92;134.166,00;47,12;Peru;New York Stock Exchange Inc.;USD
EXIDEIND;EXIDE INDUSTRIES LTD;Consumi Discrezionali;Azionario;6.306.493,96;0,01;6.306.493,96;1.498.473,00;4,21;India;National Stock Exchange Of India;INR
047050;POSCO INTERNATIONAL CORP;Industriali;Azionario;6.303.519,28;0,01;6.303.519,28;166.025,00;37,97;Corea;Korea Exchange (Stock Market);KRW
082740;HANWHA ENGINE LTD;Industriali;Azionario;6.290.523,82;0,01;6.290.523,82;172.157,00;36,54;Corea;Korea Exchange (Stock Market);KRW
2542;HIGHWEALTH CONSTRUCTION CORP;Immobili;Azionario;6.289.451,39;0,01;6.289.451,39;4.610.241,00;1,36;Taiwan;Taiwan Stock Exchange;TWD
ANDINA.B;EMBOTELLADORA ANDINA SERIES B SA;Generi di largo consumo;Azionario;6.272.012,25;0,01;6.272.012,25;1.365.208,00;4,59;Cile;Santiago Stock Exchange;CLP
GOAU4;METALURGICA GERDAU PREF SA;Materiali;Azionario;6.266.062,38;0,01;6.266.062,38;3.158.595,00;1,98;Brasile;XBSP;BRL
780;TONGCHENG TRAVEL HOLDINGS LTD;Consumi Discrezionali;Azionario;6.221.500,09;0,01;6.221.500,09;3.506.800,00;1,77;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2290;YANBU NATIONAL PETROCHEMICALS;Materiali;Azionario;6.219.094,84;0,01;6.219.094,84;734.303,00;8,47;Arabia Saudita;Saudi Stock Exchange;SAR
180640;HANJIN KAL;Consumi Discrezionali;Azionario;6.214.313,99;0,01;6.214.313,99;83.261,00;74,64;Corea;Korea Exchange (Stock Market);KRW
3360;FAR EAST HORIZON LTD;Finanziari;Azionario;6.207.516,42;0,01;6.207.516,42;6.502.000,00;0,95;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
SM;SM INVESTMENTS CORP;Industriali;Azionario;6.205.863,20;0,01;6.205.863,20;657.768,00;9,43;Filippine;Philippine Stock Exchange Inc.;PHP
JUBLFOOD;JUBILANT FOODWORKS LTD;Consumi Discrezionali;Azionario;6.198.609,06;0,01;6.198.609,06;1.377.511,00;4,50;India;National Stock Exchange Of India;INR
AGILITY;AGILITY GLOB PLC;Industriali;Azionario;6.167.924,87;0,01;6.167.924,87;13.564.818,00;0,45;Emirati Arabi Uniti;Abu Dhabi Securities Exchange;AED
2525;HESAI GROUP CLASS B;Consumi Discrezionali;Azionario;6.143.469,75;0,01;6.143.469,75;311.340,00;19,73;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
4979;LUXNET CORP;IT;Azionario;6.123.146,24;0,01;6.123.146,24;323.823,00;18,91;Taiwan;Gretai Securities Market;TWD
OPTIMA;OPTIMA BANK S.A. SA;Finanziari;Azionario;6.124.529,56;0,01;6.124.529,56;519.970,00;11,78;Grecia;Athens Exchange S.A. Cash Market;EUR
403870;HPSP LTD;IT;Azionario;6.113.826,58;0,01;6.113.826,58;187.280,00;32,65;Corea;Korea Exchange (Kosdaq);KRW
002353;YANTAI JEREH OILFIELD SERVICES GRO;Energia;Azionario;6.107.420,38;0,01;6.107.420,38;273.674,00;22,32;Cina;Shenzhen Stock Exchange;CNY
1020;BANK ALJAZIRA;Finanziari;Azionario;6.101.103,07;0,01;6.101.103,07;2.004.183,00;3,04;Arabia Saudita;Saudi Stock Exchange;SAR
141080;LIGA CHEM BIO INC;Salute;Azionario;6.096.675,82;0,01;6.096.675,82;69.021,00;88,33;Corea;Korea Exchange (Kosdaq);KRW
1585;YADEA GROUP HOLDINGS LTD;Consumi Discrezionali;Azionario;6.088.981,92;0,01;6.088.981,92;4.102.000,00;1,48;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
SAHOL.E;HACI OMER SABANCI HOLDING A;Finanziari;Azionario;6.078.631,44;0,01;6.078.631,44;3.112.597,00;1,95;Turchia;Istanbul Stock Exchange;TRY
4250;JABAL OMAR DEVELOPMENT;Consumi Discrezionali;Azionario;6.067.769,20;0,01;6.067.769,20;1.558.321,00;3,89;Arabia Saudita;Saudi Stock Exchange;SAR
2883;CHINA OILFIELD SERVICES LTD H;Energia;Azionario;6.054.987,65;0,01;6.054.987,65;5.828.000,00;1,04;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
ALKEM;ALKEM LABORATORIES LTD;Salute;Azionario;6.048.590,70;0,01;6.048.590,70;109.346,00;55,32;India;National Stock Exchange Of India;INR
MBT;METROPOLITAN BANK AND TRUST CO;Finanziari;Azionario;6.045.698,10;0,01;6.045.698,10;5.771.107,00;1,05;Filippine;Philippine Stock Exchange Inc.;PHP
139130;DGB FINANCIAL GROUP;Finanziari;Azionario;6.017.850,66;0,01;6.017.850,66;523.859,00;11,49;Corea;Korea Exchange (Stock Market);KRW
3998;BOSIDENG INTERNATIONAL LTD;Consumi Discrezionali;Azionario;6.017.942,91;0,01;6.017.942,91;11.068.000,00;0,54;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
JKCEMENT;J.K. CEMENT LTD;Materiali;Azionario;6.020.408,33;0,01;6.020.408,33;115.524,00;52,11;India;National Stock Exchange Of India;INR
440110;FADU INC;IT;Azionario;6.000.946,26;0,01;6.000.946,26;84.210,00;71,26;Corea;Korea Exchange (Kosdaq);KRW
2588;BOC AVIATION LTD;Industriali;Azionario;5.980.529,03;0,01;5.980.529,03;642.751,00;9,30;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
LICHSGFIN;LIC HOUSING FINANCE LTD;Finanziari;Azionario;5.971.914,08;0,01;5.971.914,08;1.031.289,00;5,79;India;National Stock Exchange Of India;INR
MBRF3;MARFRIG GLOBAL FOODS SA;Generi di largo consumo;Azionario;5.961.594,00;0,01;5.961.594,00;1.937.310,00;3,08;Brasile;XBSP;BRL
1785;SOLAR APPLIED MATERIALS TECHNOLOGY;Materiali;Azionario;5.940.351,64;0,01;5.940.351,64;1.371.699,00;4,33;Taiwan;Gretai Securities Market;TWD
8112;SUPREME ELECTRONICS LTD;IT;Azionario;5.937.246,59;0,01;5.937.246,59;2.020.940,00;2,94;Taiwan;Taiwan Stock Exchange;TWD
2105;CHENG SHIN RUBBER INDUSTRY LTD;Consumi Discrezionali;Azionario;5.929.729,22;0,01;5.929.729,22;5.481.000,00;1,08;Taiwan;Taiwan Stock Exchange;TWD
601939;CHINA CONSTRUCTION BANK CORP A;Finanziari;Azionario;5.917.879,21;0,01;5.917.879,21;3.927.891,00;1,51;Cina;Shanghai Stock Exchange;CNY
6213;ITEQ CORP;IT;Azionario;5.918.203,94;0,01;5.918.203,94;732.962,00;8,07;Taiwan;Taiwan Stock Exchange;TWD
128940;HANMI PHARM LTD;Salute;Azionario;5.895.746,37;0,01;5.895.746,37;18.389,00;320,61;Corea;Korea Exchange (Stock Market);KRW
JSL;JINDAL STAINLESS LTD;Materiali;Azionario;5.885.561,27;0,01;5.885.561,27;809.025,00;7,27;India;National Stock Exchange Of India;INR
6196;MARKETECH INTERNATIONAL CORP;IT;Azionario;5.868.367,20;0,01;5.868.367,20;367.000,00;15,99;Taiwan;Taiwan Stock Exchange;TWD
CAMS;COMPUTER AGE MANAGEMENT SERVICES L;Industriali;Azionario;5.866.296,09;0,01;5.866.296,09;731.832,00;8,02;India;National Stock Exchange Of India;INR
3800;GCL TECHNOLOGY HOLDINGS LTD;IT;Azionario;5.854.367,35;0,01;5.854.367,35;62.833.000,00;0,09;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
CROMPTON;CROMPTON GREAVES CONSUMER ELECTRIC;Consumi Discrezionali;Azionario;5.850.258,97;0,01;5.850.258,97;2.083.277,00;2,81;India;National Stock Exchange Of India;INR
MANAPPURAM;MANAPPURAM FINANCE LTD;Finanziari;Azionario;5.833.832,50;0,01;5.833.832,50;1.797.022,00;3,25;India;National Stock Exchange Of India;INR
QFLS;QATAR FUEL;Energia;Azionario;5.828.985,83;0,01;5.828.985,83;1.537.923,00;3,79;Qatar;Qatar Exchange;QAR
000001;PING AN BANK LTD A;Finanziari;Azionario;5.820.169,66;0,01;5.820.169,66;3.595.651,00;1,62;Cina;Shenzhen Stock Exchange;CNY
310210;VORONOI INC;Salute;Azionario;5.804.623,90;0,01;5.804.623,90;42.691,00;135,97;Corea;Korea Exchange (Kosdaq);KRW
3023;SINBON ELECTRONICS LTD;IT;Azionario;5.796.744,21;0,01;5.796.744,21;555.351,00;10,44;Taiwan;Taiwan Stock Exchange;TWD
095340;ISC TECHNOLOGY LTD;IT;Azionario;5.794.521,03;0,01;5.794.521,03;44.199,00;131,10;Corea;Korea Exchange (Kosdaq);KRW
JOYY;JOYY ADR INC;Comunicazione;Azionario;5.788.426,56;0,01;5.788.426,56;87.584,00;66,09;Cina;NASDAQ;USD
390;CHINA RAILWAY GROUP LTD H;Industriali;Azionario;5.783.227,50;0,01;5.783.227,50;12.448.000,00;0,46;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
GESHIP;GREAT EASTERN SHIPPING COMPANY LTD;Energia;Azionario;5.777.091,39;0,01;5.777.091,39;374.628,00;15,42;India;National Stock Exchange Of India;INR
TIMECOM;TIME DOTCOM;Comunicazione;Azionario;5.763.641,51;0,01;5.763.641,51;3.843.700,00;1,50;Malesia;Bursa Malaysia;MYR
600919;BANK OF JIANGSU CORPORATION LTD A;Finanziari;Azionario;5.751.374,66;0,01;5.751.374,66;3.428.259,00;1,68;Cina;Shanghai Stock Exchange;CNY
960;LONGFOR GROUP HOLDINGS LTD;Immobili;Azionario;5.741.025,04;0,01;5.741.025,04;5.781.500,00;0,99;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
6282;ACBEL POLYTECH INC;Industriali;Azionario;5.697.395,97;0,01;5.697.395,97;2.814.719,00;2,02;Taiwan;Taiwan Stock Exchange;TWD
1560;KINIK;Industriali;Azionario;5.691.270,48;0,01;5.691.270,48;257.000,00;22,15;Taiwan;Taiwan Stock Exchange;TWD
XTB;XTB SA;Finanziari;Azionario;5.689.628,42;0,01;5.689.628,42;192.245,00;29,60;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
HINDCOPPER;HINDUSTAN COPPER LTD;Materiali;Azionario;5.684.056,07;0,01;5.684.056,07;1.025.217,00;5,54;India;National Stock Exchange Of India;INR
601601;CHINA PACIFIC INSURANCE (GROUP) LT;Finanziari;Azionario;5.684.621,54;0,01;5.684.621,54;1.241.893,00;4,58;Cina;Shanghai Stock Exchange;CNY
RES;RESILIENT PROP LTD;Immobili;Azionario;5.667.450,78;0,01;5.667.450,78;1.180.181,00;4,80;Sud Africa;Johannesburg Stock Exchange;ZAR
000338;WEICHAI POWER LTD A;Industriali;Azionario;5.661.937,46;0,01;5.661.937,46;1.234.155,00;4,59;Cina;Shenzhen Stock Exchange;CNY
AVI;AVI LTD;Generi di largo consumo;Azionario;5.663.431,82;0,01;5.663.431,82;995.107,00;5,69;Sud Africa;Johannesburg Stock Exchange;ZAR
1044;HENGAN INTERNATIONAL GROUP LTD;Generi di largo consumo;Azionario;5.655.563,28;0,01;5.655.563,28;1.829.500,00;3,09;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
4966;PARADE TECHNOLOGIES LTD;IT;Azionario;5.650.851,06;0,01;5.650.851,06;242.000,00;23,35;Taiwan;Gretai Securities Market;TWD
2380;CHINA POWER INTERNATIONAL DEVELOPM;Imprese di servizi di pubblica utilità;Azionario;5.614.464,86;0,01;5.614.464,86;11.921.000,00;0,47;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
002714;MUYUAN FOODS GROUP LTD A;Generi di largo consumo;Azionario;5.600.529,20;0,01;5.600.529,20;1.083.581,00;5,17;Cina;Shenzhen Stock Exchange;CNY
326030;SK BIOPHARMACEUTICALS LTD;Salute;Azionario;5.591.616,89;0,01;5.591.616,89;97.793,00;57,18;Corea;Korea Exchange (Stock Market);KRW
002463;WUS PRINTED CIRCUIT (KUNSHAN) LTD;IT;Azionario;5.574.074,75;0,01;5.574.074,75;283.823,00;19,64;Cina;Shenzhen Stock Exchange;CNY
VFQS;VODAFONE QATAR;Comunicazione;Azionario;5.551.938,41;0,01;5.551.938,41;7.279.297,00;0,76;Qatar;Qatar Exchange;QAR
UNTR;UNITED TRACTORS;Energia;Azionario;5.540.216,49;0,01;5.540.216,49;4.696.800,00;1,18;Indonesia;Indonesia Stock Exchange;IDR
IGRD;ESTITHMAR HOLDING;Industriali;Azionario;5.541.687,65;0,01;5.541.687,65;4.659.881,00;1,19;Qatar;Qatar Exchange;QAR
OBEROIRLTY;OBEROI REALTY LTD;Immobili;Azionario;5.542.613,17;0,01;5.542.613,17;322.147,00;17,21;India;National Stock Exchange Of India;INR
ZAB;ZABKA GROUP SOCIETE ANONYME SA;Generi di largo consumo;Azionario;5.537.434,79;0,01;5.537.434,79;824.314,00;6,72;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
IDR;IDR CASH;Liquidità e/o derivati;Contanti;5.521.553,43;0,01;5.521.553,43;99.470.785.047,00;0,01;Indonesia;--;IDR
4002;AL MOUWASAT MEDICAL SERVICES;Salute;Azionario;5.515.749,99;0,01;5.515.749,99;316.183,00;17,44;Arabia Saudita;Saudi Stock Exchange;SAR
GRUMAB;GRUMA;Generi di largo consumo;Azionario;5.498.571,70;0,01;5.498.571,70;332.232,00;16,55;Messico;Bolsa Mexicana De Valores;MXN
BALKRISIND;BALKRISHNA INDUSTRIES LTD;Consumi Discrezionali;Azionario;5.493.993,52;0,01;5.493.993,52;243.501,00;22,56;India;National Stock Exchange Of India;INR
AMBER;AMBER ENTERPRISES INDIA LTD;Consumi Discrezionali;Azionario;5.488.057,49;0,01;5.488.057,49;66.609,00;82,39;India;National Stock Exchange Of India;INR
2610;CHINA AIRLINES LTD;Industriali;Azionario;5.489.501,74;0,01;5.489.501,74;8.673.000,00;0,63;Taiwan;Taiwan Stock Exchange;TWD
DUBK;DUKHAN BANK;Finanziari;Azionario;5.483.089,19;0,01;5.483.089,19;5.897.763,00;0,93;Qatar;Qatar Exchange;QAR
002142;BANK OF NINGBO LTD A;Finanziari;Azionario;5.486.730,41;0,01;5.486.730,41;1.217.880,00;4,51;Cina;Shenzhen Stock Exchange;CNY
Q*;QUALITAS CONTROLADORA;Finanziari;Azionario;5.480.239,32;0,01;5.480.239,32;560.659,00;9,77;Messico;Bolsa Mexicana De Valores;MXN
2311004D;VEDANTA ALUMINIUM;Materiali;Azionario;5.469.080,06;0,01;5.469.080,06;4.290.138,00;1,27;India;National Stock Exchange Of India;INR
7172841Z;MALCO ENERGY LTD (PROPOSED);Materiali;Azionario;5.469.080,06;0,01;5.469.080,06;4.290.138,00;1,27;India;National Stock Exchange Of India;INR
STLTIN;TALWANDI SABO POWER LTD;Imprese di servizi di pubblica utilità;Azionario;5.469.080,06;0,01;5.469.080,06;4.290.138,00;1,27;India;National Stock Exchange Of India;INR
STLTIN;TALWANDI SABO;Imprese di servizi di pubblica utilità;Azionario;5.469.080,06;0,01;5.469.080,06;4.290.138,00;1,27;India;National Stock Exchange Of India;INR
ATAT;ATOUR LIFESTYLE HOLDINGS AMERICAN;Consumi Discrezionali;Azionario;5.440.976,52;0,01;5.440.976,52;162.806,00;33,42;Cina;NASDAQ;USD
9995;REMEGEN LTD H;Salute;Azionario;5.434.947,70;0,01;5.434.947,70;604.000,00;9,00;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
QL;QL RESOURCES;Generi di largo consumo;Azionario;5.433.833,29;0,01;5.433.833,29;5.996.570,00;0,91;Malesia;Bursa Malaysia;MYR
301308;SHENZHEN LONGSYS ELECTRONICS LTD A;IT;Azionario;5.421.455,05;0,01;5.421.455,05;70.721,00;76,66;Cina;Shenzhen Stock Exchange;CNY
MTARTECH;MTAR TECHNOLOGIES LTD;Industriali;Azionario;5.422.059,59;0,01;5.422.059,59;68.310,00;79,37;India;National Stock Exchange Of India;INR
392;BEIJING ENTERPRISES HOLDINGS LTD;Imprese di servizi di pubblica utilità;Azionario;5.424.961,55;0,01;5.424.961,55;1.434.000,00;3,78;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
TTB.R;TMBTHANACHART BANK NON-VOTING DR P;Finanziari;Azionario;5.413.790,74;0,01;5.413.790,74;76.143.100,00;0,07;Tailandia;Stock Exchange Of Thailand;THB
0126Z0;SAMSUNG EPIS HOLDINGS LTD;Salute;Azionario;5.415.140,19;0,01;5.415.140,19;18.792,00;288,16;Corea;Korea Exchange (Stock Market);KRW
TATAELXSI;TATA ELXSI LTD;IT;Azionario;5.401.142,75;0,01;5.401.142,75;119.217,00;45,31;India;National Stock Exchange Of India;INR
JBCHEPHARM;J.B. CHEMICALS AND PHARMACEUTICALS;Salute;Azionario;5.381.717,14;0,01;5.381.717,14;235.523,00;22,85;India;National Stock Exchange Of India;INR
TOP.R;THAI OIL NON-VOTING DR PCL;Energia;Azionario;5.382.689,24;0,01;5.382.689,24;3.797.560,00;1,42;Tailandia;Stock Exchange Of Thailand;THB
ALI;AYALA LAND INC;Immobili;Azionario;5.384.093,83;0,01;5.384.093,83;23.374.800,00;0,23;Filippine;Philippine Stock Exchange Inc.;PHP
3450;ELITE ADVANCED LASER CORP;IT;Azionario;5.372.483,70;0,01;5.372.483,70;338.000,00;15,89;Taiwan;Taiwan Stock Exchange;TWD
PPB;PPB GROUP;Generi di largo consumo;Azionario;5.362.307,25;0,01;5.362.307,25;2.235.960,00;2,40;Malesia;Bursa Malaysia;MYR
ICICIPRULI;ICICI PRUDENTIAL LIFE INSURANCE CO;Finanziari;Azionario;5.352.131,35;0,01;5.352.131,35;1.051.446,00;5,09;India;National Stock Exchange Of India;INR
300760;SHENZHEN MINDRAY BIO-MEDICAL ELECT;Salute;Azionario;5.353.414,60;0,01;5.353.414,60;251.500,00;21,29;Cina;Shenzhen Stock Exchange;CNY
1133;HARBIN ELECTRIC LTD H;Industriali;Azionario;5.346.619,27;0,01;5.346.619,27;2.268.000,00;2,36;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2354;FOXCONN TECHNOLOGY LTD;IT;Azionario;5.340.311,67;0,01;5.340.311,67;2.777.623,00;1,92;Taiwan;Taiwan Stock Exchange;TWD
001040;CJ CORP;Industriali;Azionario;5.316.338,66;0,01;5.316.338,66;44.567,00;119,29;Corea;Korea Exchange (Stock Market);KRW
PCO;PEPCO GROUP NV;Consumi Discrezionali;Azionario;5.313.016,07;0,01;5.313.016,07;570.054,00;9,32;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
INARI;INARI AMERTRON;IT;Azionario;5.303.866,68;0,01;5.303.866,68;9.495.100,00;0,56;Malesia;Bursa Malaysia;MYR
1111;SAUDI TADAWUL GROUP CO;Finanziari;Azionario;5.304.496,23;0,01;5.304.496,23;146.447,00;36,22;Arabia Saudita;Saudi Stock Exchange;SAR
489790;HANWHA VISION LTD;IT;Azionario;5.295.306,33;0,01;5.295.306,33;114.112,00;46,40;Corea;Korea Exchange (Stock Market);KRW
1882;HAITIAN INTERNATIONAL LTD;Industriali;Azionario;5.281.617,39;0,01;5.281.617,39;2.001.000,00;2,64;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
AC;AYALA CORP;Industriali;Azionario;5.284.042,94;0,01;5.284.042,94;800.090,00;6,60;Filippine;Philippine Stock Exchange Inc.;PHP
MULT3;MULTIPLAN EMPREENDIMENTOS IMOBILIA;Immobili;Azionario;5.258.903,00;0,01;5.258.903,00;950.025,00;5,54;Brasile;XBSP;BRL
319660;PSK INC;IT;Azionario;5.253.756,49;0,01;5.253.756,49;63.992,00;82,10;Corea;Korea Exchange (Kosdaq);KRW
601816;BEIJING-SHANGHAI HIGH SPEED RAILWA;Industriali;Azionario;5.238.351,98;0,01;5.238.351,98;7.178.500,00;0,73;Cina;Shanghai Stock Exchange;CNY
968;XINYI SOLAR HOLDINGS LTD;IT;Azionario;5.233.179,96;0,01;5.233.179,96;16.206.000,00;0,32;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
QFIN;QFIN HOLDINGS ADR INC;Finanziari;Azionario;5.235.173,53;0,01;5.235.173,53;360.301,00;14,53;Cina;NASDAQ;USD
NAM.INDIA;NIPPON LIFE INDIA ASSET MANAGMNT L;Finanziari;Azionario;5.227.719,90;0,01;5.227.719,90;445.872,00;11,72;India;National Stock Exchange Of India;INR
175330;JB FINANCIAL GROUP LTD;Finanziari;Azionario;5.223.031,87;0,01;5.223.031,87;312.530,00;16,71;Corea;Korea Exchange (Stock Market);KRW
014680;HANSOL CHEMICAL LTD;Materiali;Azionario;5.223.224,30;0,01;5.223.224,30;31.376,00;166,47;Corea;Korea Exchange (Stock Market);KRW
ENGI11;ENERGISA UNITS SA;Imprese di servizi di pubblica utilità;Azionario;5.225.120,23;0,01;5.225.120,23;575.488,00;9,08;Brasile;XBSP;BRL
4100;MAKKAH CONSTRUCTION AND DEVELOPMEN;Immobili;Azionario;5.206.948,24;0,01;5.206.948,24;229.871,00;22,65;Arabia Saudita;Saudi Stock Exchange;SAR
002380;KCC CORP;Materiali;Azionario;5.197.684,32;0,01;5.197.684,32;14.776,00;351,77;Corea;Korea Exchange (Stock Market);KRW
NH;NARAYANA HRUDAYALAYA LTD;Salute;Azionario;5.199.212,78;0,01;5.199.212,78;250.657,00;20,74;India;National Stock Exchange Of India;INR
KARURVYSYA;KARUR VYSYA BANK LTD;Finanziari;Azionario;5.184.468,82;0,01;5.184.468,82;1.761.926,00;2,94;India;National Stock Exchange Of India;INR
CONCOR;CONTAINER CORPORATION OF INDIA LTD;Industriali;Azionario;5.178.539,30;0,01;5.178.539,30;1.090.212,00;4,75;India;National Stock Exchange Of India;INR
103590;ILJIN ELECTRIC LTD;Industriali;Azionario;5.180.768,69;0,01;5.180.768,69;98.307,00;52,70;Corea;Korea Exchange (Stock Market);KRW
CDSL;CENTRAL DEPOSITORY SERVICES (INDIA;Finanziari;Azionario;5.166.500,02;0,01;5.166.500,02;402.865,00;12,82;India;National Stock Exchange Of India;INR
CHOLAHLDNG;CHOLAMANDALAM FINANCIAL HOLDINGS L;Finanziari;Azionario;5.161.949,70;0,01;5.161.949,70;338.203,00;15,26;India;National Stock Exchange Of India;INR
TAEE11;TRANSMISSORA ALIANCA ENERGIA ELETR;Imprese di servizi di pubblica utilità;Azionario;5.163.556,92;0,01;5.163.556,92;685.101,00;7,54;Brasile;XBSP;BRL
2026;PONY AI INC;IT;Azionario;5.164.267,34;0,01;5.164.267,34;545.300,00;9,47;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
6944;MEGA UNION TECHNOLOGY INC;Industriali;Azionario;5.153.857,14;0,01;5.153.857,14;173.000,00;29,79;Taiwan;Taiwan Stock Exchange;TWD
HYP;HYPROP INVS LTD;Immobili;Azionario;5.148.121,70;0,01;5.148.121,70;1.542.468,00;3,34;Sud Africa;Johannesburg Stock Exchange;ZAR
600176;CHINA JUSHI LTD A;Materiali;Azionario;5.150.371,50;0,01;5.150.371,50;945.259,00;5,45;Cina;Shanghai Stock Exchange;CNY
1070;TCL ELECTRONICS HOLDINGS LTD;Consumi Discrezionali;Azionario;5.146.836,83;0,01;5.146.836,83;2.913.634,00;1,77;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
9896;MINISO GROUP HOLDING LTD;Consumi Discrezionali;Azionario;5.137.585,53;0,01;5.137.585,53;1.563.800,00;3,29;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
600028;CHINA PETROLEUM & CHEMICAL CORP A;Energia;Azionario;5.121.510,04;0,01;5.121.510,04;7.104.498,00;0,72;Cina;Shanghai Stock Exchange;CNY
RA;REGIONAL SAB DE CV;Finanziari;Azionario;5.122.625,54;0,01;5.122.625,54;679.965,00;7,53;Messico;Bolsa Mexicana De Valores;MXN
001309;SHENZHEN TECHWINSEMI TECHNOLOGY LT;IT;Azionario;5.112.149,59;0,01;5.112.149,59;55.000,00;92,95;Cina;Shenzhen Stock Exchange;CNY
MOTILALOFS;MOTILAL OSWAL FINANCIAL SERVICES L;Finanziari;Azionario;5.116.508,66;0,01;5.116.508,66;567.887,00;9,01;India;National Stock Exchange Of India;INR
TEL;PLDT INC;Comunicazione;Azionario;5.107.744,77;0,01;5.107.744,77;274.955,00;18,58;Filippine;Philippine Stock Exchange Inc.;PHP
600031;SANY HEAVY INDUSTRY LTD A;Industriali;Azionario;5.110.210,24;0,01;5.110.210,24;1.858.678,00;2,75;Cina;Shanghai Stock Exchange;CNY
HYPE3;HYPERMARCAS SA;Salute;Azionario;5.104.529,10;0,01;5.104.529,10;1.246.072,00;4,10;Brasile;XBSP;BRL
084370;EUGENE TECHNOLOGY LTD;IT;Azionario;5.105.970,79;0,01;5.105.970,79;50.142,00;101,83;Corea;Korea Exchange (Kosdaq);KRW
ICSUAGD;BLK ICS USD LIQ AGENCY DIS;Liquidità e/o derivati;Money Market;5.095.231,13;0,01;5.095.231,13;5.095.231,00;1,00;Irlanda;--;USD
6691;YANKEY ENGINEERING LTD;Industriali;Azionario;5.091.250,75;0,01;5.091.250,75;249.959,00;20,37;Taiwan;Taiwan Stock Exchange;TWD
9904;POU CHEN CORP;Consumi Discrezionali;Azionario;5.075.258,17;0,01;5.075.258,17;6.048.000,00;0,84;Taiwan;Taiwan Stock Exchange;TWD
000988;HUAGONG TECH LTD A;IT;Azionario;5.068.239,13;0,01;5.068.239,13;218.700,00;23,17;Cina;Shenzhen Stock Exchange;CNY
443060;HD HYUNDAI MARINE SOLUTION LTD;Industriali;Azionario;5.067.472,74;0,01;5.067.472,74;35.171,00;144,08;Corea;Korea Exchange (Stock Market);KRW
1229;LIEN HWA INDUSTRIAL HOLDINGS CORP;Generi di largo consumo;Azionario;5.046.354,73;0,01;5.046.354,73;3.787.109,00;1,33;Taiwan;Taiwan Stock Exchange;TWD
000063;ZTE CORP A;IT;Azionario;5.048.622,86;0,01;5.048.622,86;875.200,00;5,77;Cina;Shenzhen Stock Exchange;CNY
ENA;ENEA SA;Imprese di servizi di pubblica utilità;Azionario;5.042.365,17;0,01;5.042.365,17;917.793,00;5,49;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
1513;CHUNG-HSIN ELECTRIC & MACHINERY MF;Industriali;Azionario;5.041.513,98;0,01;5.041.513,98;932.000,00;5,41;Taiwan;Taiwan Stock Exchange;TWD
